Word,Socialness,Concreteness
algorithm,2.1739130434782600,3.07
alias,3.64,2.86
alibi,4.666666666666670,2.57
alien,2.9130434782608700,3.52
alienate,4.92,1.83
alight,2.6842105263157900,2.96
align,2.952380952380950,2.79
alignment,2.8260869565217400,3.26
alive,4.434782608695650,3.14
allegation,4.28,1.79
allegiance,5.954545454545450,1.77
allergic,2.636363636363640,2.55
allergy,2.7142857142857100,3.68
alleyway,2.380952380952380,4.3
alliance,5.869565217391310,2.5
alligator,1.5416666666666700,4.96
allow,4.333333333333330,2.41
allowance,3.590909090909090,3.07
allure,4.956521739130440,1.92
ally,5.761904761904760,2.61
almond,1.84,4.71
aloha,5.142857142857140,2.59
alone,3.45,2.86
aloof,3.6842105263157900,1.46
alphabet,2.625,4.31
alphabetical,2.7083333333333300,3.07
alter,3.3076923076923100,3.07
alteration,3.260869565217390,3.21
altercation,4.947368421052630,3.21
alternate,2.3043478260869600,2.43
altitude,2,2.96
amaze,4.375,2
amazed,3.739130434782610,1.52
amazement,4.142857142857140,1.89
ambassador,5.857142857142860,4.28
ambience,3.125,1.72
ambient,3.7142857142857100,2.04
ambiguous,3.5454545454545500,1.48
ambition,4.142857142857140,1.74
ambitious,4.894736842105260,1.81
ambulance,4.478260869565220,4.81
ambush,4.318181818181820,3.16
amendment,2.95,2.44
amends,4,1.92
ammonia,1.4761904761904800,4.44
ammunition,3.9565217391304300,4.88
amnesty,4.947368421052630,2.18
amount,2.3043478260869600,2.74
amphibian,1.7391304347826100,3.77
amphibious,1.5,3.64
ample,2.7142857142857100,2.5
amputate,3.625,3.9
amputation,2.0952380952381000,3.76
amulet,2.05,4
amuse,4.708333333333330,2.57
amusement,5.24,2.07
anaconda,1.9565217391304300,4.93
anagram,1.4545454545454500,3.63
anal,3.272727272727270,3.3
analogy,3.5,1.61
analysis,3.260869565217390,2.56
analyst,4.36,4.23
analytical,3.5454545454545500,1.86
analyze,3.772727272727270,2.3
analyzer,3.909090909090910,2.56
anaphylactic,3.227272727272730,3
anarchist,4.85,2.83
anarchy,5,2.12
ancestor,4.7894736842105300,3.24
ancestral,5.304347826086960,1.96
ancestry,5.142857142857140,2.83
anchor,1.75,4.77
anchorage,2.55,3.48
anecdote,3.5,2.64
anemia,1.9130434782608700,3.25
anemic,2.35,2.74
anesthesia,2.2857142857142900,3.41
anesthetic,2.75,3.93
angelic,4.05,2.22
anger,5.391304347826090,2.41
angle,1.6956521739130400,3.5
angry,5.318181818181820,2.53
angst,4.25,1.96
anguish,3.9047619047619000,2.38
animated,3.5652173913043500,2.96
animation,2.619047619047620,3.41
animosity,4.2272727272727300,2.11
anklet,2.1578947368421100,4.75
annex,2.6818181818181800,4
annihilate,4.095238095238100,2.75
annihilation,3.4782608695652200,2.69
anniversary,5.739130434782610,3.15
announce,4.3478260869565200,3.31
announcement,5.363636363636360,2.79
announcer,5.761904761904760,4.52
annoy,4.974025974025970,1.93
annoyance,4.958333333333330,2.14
annoyed,5.190476190476190,2.89
annul,3.6842105263157900,2.28
annulment,3.5238095238095200,2.25
anomaly,2.111111111111110,1.79
anonymity,3.8095238095238100,1.88
anorexic,3.1739130434782600,2.85
answer,3.736842105263160,2.89
ant,1.7916666666666700,4.86
antagonize,4.476190476190480,2.43
antelope,1.8,5
antenna,2.7142857142857100,4.75
anthem,4.954545454545450,3.36
anthill,2.789473684210530,4.89
anthrax,2.6842105263157900,4.44
anthropologist,4.428571428571430,4
antiaircraft,2.55,3.48
antibiotics,1.818181818181820,4.45
antichrist,4.0476190476190500,2.93
anticipate,3.409090909090910,1.54
antics,4.181818181818180,2.6
antidote,2.260869565217390,3.42
antiques,2.363636363636360,4.22
antiseptic,1.7826086956521700,3.85
antisocial,5.363636363636360,1.86
antsy,3.95,2.5
anus,2.409090909090910,4.86
anxiety,5.25,2.21
anxious,5.083333333333330,1.68
apartment,3.8333333333333300,4.9
apartments,5.590909090909090,4.71
apathy,5.095238095238100,2.04
apex,2.238095238095240,3.41
aphrodisiac,4.7727272727272700,3.19
apocalypse,4.478260869565220,2.21
apologetic,5.315789473684210,1.88
apologize,5.043478260869570,2.63
apology,5.590909090909090,2.86
apostle,4.7272727272727300,3.22
apparatus,2.6,3.78
apparel,3.6666666666666700,4.6
apparent,2.6666666666666700,1.73
apparition,2.888888888888890,2.46
appeal,4.608695652173910,1.73
appear,3.347826086956520,3.13
appearance,5.318181818181820,2.57
appease,4.809523809523810,1.93
appendage,1.9047619047619000,4.26
appendectomy,2.8421052631578900,4.42
appetite,3.1904761904761900,2.74
appetizer,3.3,4.71
applaud,5.9,3.8
applause,5.608695652173910,4.29
apple,1.9090909090909100,5
appliance,3.217391304347830,4.57
applicant,5.25,4
application,3.4,3.4
apply,3.44,2.5
appoint,4.565217391304350,2.24
appointment,5.6,3
appraisal,4.909090909090910,3.11
appreciative,4.75,1.93
apprehend,4.173913043478260,2.82
apprentice,5.619047619047620,3.67
approach,4.105263157894740,2.74
approval,5.521739130434780,2.33
approve,4.35,1.85
apricot,1.5714285714285700,4.97
apron,1.5714285714285700,4.87
apt,3.55,1.78
aptitude,3.409090909090910,1.54
aquarium,2.260869565217390,4.77
aquatic,1.84,3.44
arbitrary,3.863636363636360,1.62
archaeological,3.5714285714285700,2.67
archaeologist,4,4.45
archaeology,3.4347826086956500,3.08
archaic,2.6,2.23
archangel,2.8,2.93
archduke,3.736842105263160,3.93
archery,3.3333333333333300,3.93
architect,4.333333333333330,3.74
architectural,3.16,3.14
architecture,3.2,3.59
arctic,1.8695652173913000,3
argue,6.291666666666670,2.75
argument,6.478260869565220,2.85
arise,2.619047619047620,3.17
aristocracy,5.3478260869565200,2.97
aristocrat,5.761904761904760,3.76
arithmetic,2.363636363636360,2.74
armada,4.888888888888890,4.04
armory,3.35,4.36
armpit,2.3043478260869600,4.8
arouse,5.380952380952380,2.85
arraignment,4.45,2.58
arrange,3.4761904761904800,2.79
array,2.363636363636360,2.54
arrival,3.3684210526315800,3.07
arrive,3.636363636363640,3.22
arrogance,4.72,1.74
arrogant,4.739130434782610,2.07
arsenic,2.3181818181818200,4.29
arson,3.6666666666666700,3.66
art,4.409090909090910,4.17
artery,2.3043478260869600,4.48
arthritis,2.9047619047619000,3.5
artichoke,1.9545454545454500,4.63
article,3.0833333333333300,4.33
artifact,3.0869565217391300,4.5
artificial,3.1578947368421100,2.93
artillery,3.909090909090910,4.31
artist,6.190476190476190,4.24
artistic,4.478260869565220,2.14
artistry,5.181818181818180,2
ascend,4.095238095238100,2.66
ascending,2.5217391304347800,2.66
ascension,3.3043478260869600,2.37
ascertain,3.5,2.11
ask,4.954545454545450,2.52
asparagus,1.3478260869565200,4.96
aspect,2.52,1.82
asphalt,1.36,4.83
aspiration,4.541666666666670,1.81
aspire,3.652173913043480,1.53
assailant,5.041666666666670,3.96
assassin,3.9583333333333300,4.43
assassinate,5.2727272727272700,3
assassination,5.391304347826090,3.8
assault,5.454545454545450,3.41
assembly,4.304347826086960,3.79
assemblyman,4.92,3.74
assert,4.75,2.03
assertive,4.25,2.07
assess,2.652173913043480,2.26
assessment,4,2.11
asset,3.047619047619050,2.92
asshole,5.391304347826090,4.08
assign,4.095238095238100,2.86
assignment,4.136363636363640,3.86
assimilate,4.826086956521740,2.17
assist,5.958333333333330,2.52
assistance,5.363636363636360,2.25
associate,5.608695652173910,3.41
assorted,2.652173913043480,3.15
assortment,3.3181818181818200,2.5
assume,3.0434782608695700,1.75
assumption,3.4,1.84
assurance,3.95,1.76
assure,4.130434782608700,2.43
asterisk,1.4545454545454500,4
asteroid,1.4166666666666700,4.86
asthma,3.0952380952381000,3.71
asthmatic,3.227272727272730,2.96
astonish,4.142857142857140,1.7
astound,4.476190476190480,1.93
astral,2.5555555555555600,2.26
astrology,3.090909090909090,2.48
astronaut,4.318181818181820,4.75
astronomer,4.2272727272727300,4.27
astronomical,2.4347826086956500,2.92
astronomy,2.5,3.03
astute,4.428571428571430,1.85
atheist,4.444444444444450,2.93
athletic,4.7272727272727300,2.69
athletics,5.086956521739130,3.65
atlas,2.8333333333333300,4.79
atmosphere,3.3181818181818200,3.04
atmospheric,2.4782608695652200,2.9
atom,1.6956521739130400,3.34
atomic,2.3181818181818200,2.93
atone,3.857142857142860,1.88
atrocious,3.4782608695652200,1.69
atrocity,4.7368421052631600,2.15
attach,3.772727272727270,3.33
attachment,4.136363636363640,3.04
attain,3.5833333333333300,2.18
attempt,3,2.22
attend,5.76,3.17
attendance,5.090909090909090,3.07
attendant,5.7,4.44
attention,4.666666666666670,2.3
attentive,5.5,1.78
attest,4.05,1.89
attic,2.347826086956520,4.53
attire,3.6818181818181800,4.47
attitude,4.782608695652170,1.97
attract,5.181818181818180,2.73
attractive,5.5,2.64
attribute,3.5,2.33
auctioneer,5.130434782608700,4.55
audacious,4.65,1.63
audacity,4.545454545454550,1.62
audible,4.478260869565220,3.23
audience,5.708333333333330,4.29
audio,2.75,3.5
audit,4.478260869565220,3.15
audition,5.363636363636360,3.66
auditor,4.695652173913040,3.38
auditorium,5.285714285714290,4.7
auditory,3.5454545454545500,3.07
aura,2.8181818181818200,2.67
auspicious,4.333333333333330,1.96
authentic,3.6818181818181800,2.31
authenticity,4.625,1.74
author,3.9583333333333300,4.26
authorize,5.086956521739130,2.22
autism,5.045454545454550,2.69
autistic,4.956521739130440,2.89
autobiographical,4.391304347826090,2.77
autobiography,4.857142857142860,3.74
