participant,Word,ACC,RT,PoS,Socialness,Concreteness
R_124EIVnDvUemy0C,administer,0,NA,Verb,Social,2.53
R_124EIVnDvUemy0C,colony,1,NA,Noun,Social,3.77
R_124EIVnDvUemy0C,migraine,1,NA,Noun,Nonsocial,3.2
R_124EIVnDvUemy0C,fireside,1,NA,Noun,Nonsocial,3.84
R_124EIVnDvUemy0C,reunite,1,0.927,Verb,Social,2.86
R_124EIVnDvUemy0C,advertise,1,0.625,Verb,Social,2.81
R_124EIVnDvUemy0C,stardom,1,NA,Noun,Social,2.26
R_124EIVnDvUemy0C,carpentry,1,NA,Noun,Nonsocial,3.48
R_124EIVnDvUemy0C,stepson,1,NA,Noun,Social,3.68
R_124EIVnDvUemy0C,trajectory,1,NA,Noun,Nonsocial,3.1
R_124EIVnDvUemy0C,compound,1,NA,Noun,Nonsocial,3.03
R_124EIVnDvUemy0C,fortnight,1,NA,Noun,Nonsocial,2.71
R_124EIVnDvUemy0C,congress,1,NA,Noun,Social,3.9
R_124EIVnDvUemy0C,reviewer,1,NA,Noun,Social,3.67
R_124EIVnDvUemy0C,freshen,0,NA,Verb,Nonsocial,2.17
R_124EIVnDvUemy0C,pray,1,1.561,Verb,Social,3.21
R_124EIVnDvUemy0C,guidance,1,NA,Noun,Social,2.46
R_124EIVnDvUemy0C,percentage,1,NA,Noun,Nonsocial,2.9
R_124EIVnDvUemy0C,medley,1,NA,Noun,Nonsocial,2.93
R_124EIVnDvUemy0C,conjure,1,1.46,Verb,Nonsocial,2.3
R_124EIVnDvUemy0C,seduce,1,0.626,Verb,Social,2.18
R_124EIVnDvUemy0C,manipulate,1,1.642,Verb,Social,2.55
R_124EIVnDvUemy0C,warfare,1,NA,Noun,Social,3.03
R_124EIVnDvUemy0C,onset,1,NA,Noun,Nonsocial,2.14
R_124EIVnDvUemy0C,soften,0,NA,Verb,Nonsocial,2.57
R_124EIVnDvUemy0C,management,1,NA,Noun,Social,2.72
R_124EIVnDvUemy0C,etiquette,1,NA,Noun,Social,2.15
R_124EIVnDvUemy0C,assist,1,1.579,Verb,Social,2.52
R_124EIVnDvUemy0C,minimize,1,1.229,Verb,Nonsocial,2.37
R_124EIVnDvUemy0C,history,1,NA,Noun,Social,2.96
R_124EIVnDvUemy0C,impediment,1,NA,Noun,Nonsocial,2.56
R_124EIVnDvUemy0C,talker,1,NA,Noun,Social,4.39
R_124EIVnDvUemy0C,renew,1,1.812,Verb,Nonsocial,2.07
R_124EIVnDvUemy0C,size,1,NA,Noun,Nonsocial,3.13
R_124EIVnDvUemy0C,layer,1,NA,Noun,Nonsocial,3.52
R_124EIVnDvUemy0C,infiltrate,1,1.194,Verb,Social,2.71
R_124EIVnDvUemy0C,voucher,1,NA,Noun,Nonsocial,3.81
R_124EIVnDvUemy0C,hometown,1,NA,Noun,Social,3.33
R_124EIVnDvUemy0C,bleeder,1,NA,Noun,Nonsocial,3.5
R_124EIVnDvUemy0C,rearrange,1,0.911,Verb,Nonsocial,3.26
R_124EIVnDvUemy0C,physics,1,NA,Noun,Nonsocial,3.07
R_124EIVnDvUemy0C,straighten,1,1.713,Verb,Nonsocial,3.72
R_124EIVnDvUemy0C,absorb,1,0.596,Verb,Nonsocial,3.11
R_124EIVnDvUemy0C,allergy,1,NA,Noun,Nonsocial,3.68
R_124EIVnDvUemy0C,generate,1,0.611,Verb,Nonsocial,2.23
R_124EIVnDvUemy0C,fluke,0,0.925,Noun,Nonsocial,2.34
R_124EIVnDvUemy0C,dioxide,1,NA,Noun,Nonsocial,2.81
R_124EIVnDvUemy0C,dialect,1,NA,Noun,Social,2.67
R_124EIVnDvUemy0C,hover,1,1.047,Verb,Nonsocial,3.17
R_124EIVnDvUemy0C,invade,1,0.678,Verb,Social,3.28
R_124EIVnDvUemy0C,cherish,1,1.625,Verb,Social,1.73
R_124EIVnDvUemy0C,enhance,1,0.663,Verb,Nonsocial,2.21
R_124EIVnDvUemy0C,reinforce,1,0.543,Verb,Nonsocial,2.32
R_124EIVnDvUemy0C,contribute,1,0.508,Verb,Social,2.13
R_124EIVnDvUemy0C,cooperate,1,0.526,Verb,Social,1.87
R_124EIVnDvUemy0C,terminate,1,0.609,Verb,Nonsocial,2.29
R_124EIVnDvUemy0C,dissolve,1,0.545,Verb,Nonsocial,3.15
R_124EIVnDvUemy0C,dynamo,0,0.462,Noun,Nonsocial,2.71
R_124EIVnDvUemy0C,standstill,1,NA,Noun,Nonsocial,2.39
R_124EIVnDvUemy0C,openness,1,NA,Noun,Social,1.9
R_124EIVnDvUemy0C,patriot,1,NA,Noun,Social,3.36
R_124EIVnDvUemy0C,refuel,1,1.626,Verb,Nonsocial,3.53
R_124EIVnDvUemy0C,gravity,1,NA,Noun,Nonsocial,2.86
R_124EIVnDvUemy0C,dignify,0,NA,Verb,Social,1.71
R_124EIVnDvUemy0C,endorse,1,1.493,Verb,Social,2.41
R_124EIVnDvUemy0C,ancestry,1,NA,Noun,Social,2.83
R_124EIVnDvUemy0C,pronounce,0,NA,Verb,Nonsocial,2.63
R_124EIVnDvUemy0C,dimension,1,NA,Noun,Nonsocial,2.5
R_124EIVnDvUemy0C,replicate,1,0.578,Verb,Nonsocial,3.33
R_124EIVnDvUemy0C,chapter,1,NA,Noun,Nonsocial,3.43
R_124EIVnDvUemy0C,donate,1,1.043,Verb,Social,2.88
R_124EIVnDvUemy0C,outage,1,NA,Noun,Nonsocial,2.83
R_124EIVnDvUemy0C,extend,1,1.027,Verb,Nonsocial,2.93
R_124EIVnDvUemy0C,propose,1,1.013,Verb,Social,2.19
R_124EIVnDvUemy0C,authorize,1,0.708,Verb,Social,2.22
R_124EIVnDvUemy0C,confront,1,0.944,Verb,Social,2.43
R_124EIVnDvUemy0C,impress,1,0.529,Verb,Social,2.07
R_124EIVnDvUemy0C,tourism,1,NA,Noun,Social,3
R_124EIVnDvUemy0C,sinner,1,NA,Noun,Social,3.07
R_124EIVnDvUemy0C,monogamy,1,NA,Noun,Social,1.7
R_124EIVnDvUemy0C,tremble,1,1.294,Verb,Nonsocial,3.61
R_124EIVnDvUemy0C,teamwork,1,NA,Noun,Social,2.37
R_124EIVnDvUemy0C,array,1,NA,Noun,Nonsocial,2.54
R_124EIVnDvUemy0C,behavior,1,NA,Noun,Social,2.19
R_124EIVnDvUemy0C,consult,1,0.86,Verb,Social,3.04
R_124EIVnDvUemy0C,hierarchy,1,NA,Noun,Social,2.59
R_124EIVnDvUemy0C,pacify,1,1.279,Verb,Social,2.04
R_124EIVnDvUemy0C,diplomacy,1,NA,Noun,Social,2.04
R_124EIVnDvUemy0C,negotiate,1,0.762,Verb,Social,2
R_124EIVnDvUemy0C,postpone,1,0.911,Verb,Nonsocial,2.29
R_124EIVnDvUemy0C,persuade,1,0.876,Verb,Social,2.07
R_124EIVnDvUemy0C,decipher,1,0.976,Verb,Nonsocial,2.83
R_124EIVnDvUemy0C,rebellion,1,NA,Noun,Social,2.93
R_124EIVnDvUemy0C,option,1,NA,Noun,Nonsocial,2.39
R_124EIVnDvUemy0C,subside,0,NA,Verb,Nonsocial,2.26
R_124EIVnDvUemy0C,persuasion,1,NA,Noun,Social,1.9
R_124EIVnDvUemy0C,activate,1,0.708,Verb,Nonsocial,2.97
R_124EIVnDvUemy0C,contain,1,0.945,Verb,Nonsocial,2.74
R_124EIVnDvUemy0C,jiffy,1,NA,Noun,Nonsocial,2.33
R_124EIVnDvUemy0C,classify,0,NA,Verb,Nonsocial,2.41
R_124EIVnDvUemy0C,obstruct,0,NA,Verb,Nonsocial,2.46
R_124EIVnDvUemy0C,deduct,1,0.826,Verb,Nonsocial,2.31
R_124EIVnDvUemy0C,privilege,1,NA,Noun,Social,1.93
R_124EIVnDvUemy0C,befriend,1,1.095,Verb,Social,2.36
R_124EIVnDvUemy0C,finalize,1,0.86,Verb,Nonsocial,2.14
R_124EIVnDvUemy0C,restore,1,0.576,Verb,Nonsocial,2.79
R_124EIVnDvUemy0C,metaphor,1,NA,Noun,Nonsocial,1.94
R_124EIVnDvUemy0C,dominate,1,0.644,Verb,Social,2.12
R_124EIVnDvUemy0C,royalty,1,NA,Noun,Social,3.11
R_124EIVnDvUemy0C,liberate,1,0.643,Verb,Social,2.29
R_124EIVnDvUemy0C,discontinue,1,0.657,Verb,Nonsocial,2.5
R_124EIVnDvUemy0C,attendance,1,NA,Noun,Social,3.07
R_124EIVnDvUemy0C,conclude,1,0.591,Verb,Nonsocial,1.78
R_124EIVnDvUemy0C,nightfall,1,NA,Noun,Nonsocial,3.79
R_124EIVnDvUemy0C,reconcile,1,1.495,Verb,Social,1.79
R_124EIVnDvUemy0C,anomaly,1,NA,Noun,Nonsocial,1.79
R_124EIVnDvUemy0C,expire,1,1.043,Verb,Nonsocial,2.73
R_124EIVnDvUemy0C,shallows,1,NA,Noun,Nonsocial,3.33
R_124EIVnDvUemy0C,retain,1,1.627,Verb,Nonsocial,2.32
R_124EIVnDvUemy0C,simplicity,1,NA,Noun,Nonsocial,1.96
R_124EIVnDvUemy0C,participate,1,0.648,Verb,Social,2.59
R_124EIVnDvUemy0C,drawback,1,NA,Noun,Nonsocial,2.52
R_124EIVnDvUemy0C,volume,1,NA,Noun,Nonsocial,3.07
R_124EIVnDvUemy0C,agility,1,NA,Noun,Nonsocial,2.38
R_124EIVnDvUemy0C,greet,1,1.011,Verb,Social,2.96
R_124EIVnDvUemy0C,coexist,1,1.158,Verb,Social,2.25
R_124EIVnDvUemy0C,distortion,1,NA,Noun,Nonsocial,2.3
R_124EIVnDvUemy0C,excavation,1,NA,Noun,Nonsocial,3.23
R_124EIVnDvUemy0C,mankind,1,NA,Noun,Social,2.97
R_124EIVnDvUemy0C,environment,1,NA,Noun,Social,3.74
R_124EIVnDvUemy0C,unravel,1,1.044,Verb,Nonsocial,2.59
R_124EIVnDvUemy0C,commandeer,0,NA,Verb,Social,3.7
R_124EIVnDvUemy0C,seminar,1,NA,Noun,Social,3.48
R_124EIVnDvUemy0C,nobility,1,NA,Noun,Social,2.81
R_124EIVnDvUemy0C,figment,1,NA,Noun,Nonsocial,2.04
R_124EIVnDvUemy0C,adulthood,1,NA,Noun,Social,2.5
R_124EIVnDvUemy0C,compete,1,0.71,Verb,Social,2.57
R_124EIVnDvUemy0C,exhibition,1,NA,Noun,Social,3.52
R_124EIVnDvUemy0C,bicker,0,NA,Verb,Social,3.15
R_124EIVnDvUemy0C,time,1,NA,Noun,Nonsocial,3.07
R_124EIVnDvUemy0C,simplify,0,NA,Verb,Nonsocial,1.89
R_124EIVnDvUemy0C,countdown,1,NA,Noun,Nonsocial,3.3
R_124EIVnDvUemy0C,implore,0,NA,Verb,Social,1.61
R_124EIVnDvUemy0C,speech,1,NA,Noun,Social,3.37
R_124EIVnDvUemy0C,motivate,1,0.811,Verb,Social,2.07
