intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,,1,,,,,,A1_B2,classify,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,13,13,69,1,22,A2_B2,2.8,Verb,1,9.65,2.41,5.6,1.518,8,,,
,,,,,1,,,,,,A1_B2,postpone,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,14,14,13,1,5,A2_B1,2.916666667,Verb,1,10.42,2.29,4.32,2.301,8,,,
,,,,k,1,,,,,,A2_B1,presenter,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,2.6456,,,,0,15,15,134,1,42,A1_B1,5.238095238,Noun,1,8.9,3.96,5.71,1.322,9,,,
,,,,k,1,,,,,,A1_B1,excavation,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,1.514,,,,0,16,16,76,1,24,A1_B1,2.565217391,Noun,1,10.89,3.23,4.89,1.518,10,,,
,,,,,1,,,,,,A2_B2,confide,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,17,17,263,1,7,A1_B1,5.2,Verb,1,11.22,1.81,6.21,1.991,7,,,
,,,,,1,,,,,,A2_B2,pray,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,18,18,267,1,8,A1_B2,5.045454545,Verb,0.96,5.79,3.21,6.57,3.267,4,,,
,,,,,1,,,,,,A2_B2,pacify,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,19,19,163,1,50,A1_B2,5.476190476,Verb,1,10.37,2.04,5.67,1.322,6,,,
,,,,,0,,,,,,A2_B1,uprising,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,20,20,14,1,5,A2_B1,5.285714286,Noun,1,11.17,2.41,4.33,1.778,8,,,
,,,,,1,,,,,,A1_B2,unload,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,21,21,25,1,8,A2_B1,2.454545455,Verb,1,7.86,3.21,5.21,2.373,6,,,
,,,,,1,,,,,,A2_B2,infiltrate,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,22,22,123,1,39,A2_B2,5,Verb,1,12,2.71,4.41,1.935,10,,,
,,,,k,1,,,,,,A2_B1,teamwork,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.8331,,,,0,23,23,210,1,65,A2_B1,6.72,Noun,1,7.8,2.37,6.26,2.013,8,,,
,,,,k,1,,,,,,A2_B1,event,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.8537,,,,0,24,24,138,1,43,A1_B2,5.130434783,Noun,1,7.81,2.69,6.21,3.129,5,,,
,,,,,1,,,,,,A2_B2,cherish,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,25,25,59,1,19,A1_B2,5.473684211,Verb,1,8.9,1.73,6.75,2.358,7,,,
