intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,k,1,1.8165,,,,,,A1_B1,volumes,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,14,14,144,1,45,A2_B2,2,Noun,1,9.58,3.03,6,1.74,7,,,
,,,,,1,,,,,,,A2_B2,conspire,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,15,15,15,1,5,A2_B1,5.5,Verb,0.9,11,2.67,3.9,1.505,8,,,
,,,,k,1,1.3264,,,,,,A2_B1,teamwork,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,16,16,210,1,65,A2_B1,6.72,Noun,1,7.8,2.37,6.26,2.013,8,,,
,,,,k,0,1.7358,,,,,,A1_B2,subside,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,17,17,257,1,6,A1_B1,2.590909091,Verb,1,10.44,2.26,5.42,1.322,7,,,
,,,,,1,,,,,,,A1_B2,absorb,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,18,18,29,1,9,A1_B1,2.166666667,Verb,1,8.83,3.11,5.5,2.009,6,,,
,,,,k,1,0.7692,,,,,,A2_B1,guidance,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,19,19,218,1,67,A2_B1,5.136363636,Noun,1,8.95,2.46,5.95,2.576,8,,,
,,,,k,1,0.6793,,,,,,A2_B1,environment,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,20,20,190,1,59,A1_B1,5.347826087,Noun,1,9.85,3.74,6.7,2.815,11,,,
,,,,k,1,1.3724,,,,,,A1_B1,ventilation,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,21,21,188,1,59,A1_B1,1.65,Noun,1,10.39,3.48,6.44,2.045,11,,,
,,,,,1,,,,,,,A2_B2,befriend,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,22,22,127,1,40,A1_B2,6.608695652,Verb,1,8.5,2.36,7.14,1.362,8,,,
,,,,k,1,0.8182,,,,,,A2_B1,mankind,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,23,23,222,1,68,A2_B2,6.5,Noun,1,8.89,2.97,6.59,2.651,7,,,
,,,,k,1,1.2668,,,,,,A1_B1,delusion,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,24,24,184,1,58,A1_B2,2.695652174,Noun,1,9.95,2.3,3.3,2.143,8,,,
,,,,k,1,0.959,,,,,,A2_B1,solitude,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,25,25,158,1,49,A2_B2,5,Noun,0.97,12,2.07,4.76,2.013,8,,,
,,,,k,1,1.2546,,,,,,A1_B1,anomaly,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,26,26,156,1,49,A2_B2,2.111111111,Noun,1,12.44,1.79,4.84,1.806,7,,,
,,,,,1,,,,,,,A2_B2,inhabit,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,27,27,143,1,44,A2_B1,5.130434783,Verb,1,12.22,3.21,5.38,1.532,7,,,
,,,,k,1,0.951,,,,,,A1_B1,dioxide,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,28,28,12,1,5,A2_B1,1.363636364,Noun,1,11.4,2.81,4.58,1.724,7,,,
