intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,k,1,2.545,,,,,,A1_B1,standstill,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,14,14,212,1,66,A1_B1,2.863636364,Noun,1,10,2.39,4.74,1.431,10,,,
,,,,k,1,0.7443,,,,,,A2_B1,job,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,15,15,202,1,62,A1_B1,5.695652174,Noun,1,5.39,3.19,5.64,4.324,3,,,
,,,,,1,,,,,,,A1_B2,sterilize,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,16,16,141,1,44,A2_B1,2.954545455,Verb,1,11.68,2.97,5.59,1.398,9,,,
,,,,,1,,,,,,,A2_B2,cooperate,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,17,17,211,1,65,A2_B1,6.541666667,Verb,1,8.28,1.87,6.39,2.724,9,,,
,,,,,1,,,,,,,A2_B2,terrorize,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,18,18,115,1,36,A1_B2,5.363636364,Verb,1,9.72,2.84,2.5,1.431,9,,,
,,,,,1,,,,,,,A1_B2,derive,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,19,19,157,1,49,A2_B2,2.941176471,Verb,1,12,2,4.72,1.556,6,,,
,,,,k,1,1.0026,,,,,,A1_B1,time,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,20,20,200,1,62,A1_B1,2.88,Noun,0.99,5.16,3.07,5.6,5,4,,,
,,,,k,0,2.1437,,,,,,A2_B2,commandeer,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,21,21,79,1,24,A1_B1,5.55,Verb,1,11.88,3.7,4.43,1.462,10,,,
,,,,k,1,1.0898,,,,,,A2_B1,aggressor,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,22,22,114,1,36,A1_B2,5.086956522,Noun,1,11.47,3.29,2.8,1.477,9,,,
,,,,k,1,0.8107,,,,,,A2_B1,monarchy,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,23,23,186,1,58,A1_B2,5.409090909,Noun,1,10.44,2.55,3.29,1.544,8,,,
,,,,,1,,,,,,,A2_B2,endorse,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,24,24,243,1,2,A2_B2,5.416666667,Verb,1,12.06,2.41,5.2,1.949,7,,,
,,,,k,1,1.4886,,,,,,A2_B1,reviewer,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,25,25,10,1,4,A1_B2,5.272727273,Noun,1,9.68,3.67,5.16,1.431,8,,,
,,,,,1,,,,,,,A1_B2,rearrange,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,26,26,237,1,1,A2_B1,2.727272727,Verb,1,8.11,3.26,5.52,1.949,9,,,
,,,,,1,,,,,,,A1_B2,renew,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,27,27,161,1,50,A1_B2,2.958333333,Verb,1,10.06,2.07,6,2.049,5,,,
,,,,k,1,1.0664,,,,,,A2_B1,teamwork,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,28,28,210,1,65,A2_B1,6.72,Noun,1,7.8,2.37,6.26,2.013,8,,,
,,,,,1,,,,,,,A1_B2,soften,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,29,29,221,1,68,A2_B2,2.583333333,Verb,1,7.37,2.57,6.57,1.887,6,,,
,,,,k,1,0.8405,,,,,,A2_B1,behavior,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,30,30,86,1,27,A2_B2,5.5,Noun,1,7.05,2.19,5.28,3.058,8,,,
,,,,,1,,,,,,,A2_B2,persuade,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,31,31,167,1,52,A1_B1,5.173913043,Verb,1,10.79,2.07,5.67,2.514,8,,,
,,,,,1,,,,,,,A1_B2,untie,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,32,32,229,1,70,A2_B1,2.476190476,Verb,1,4.84,3.89,4.95,2.423,5,,,
,,,,,1,,,,,,,A2_B2,invade,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,33,33,107,1,34,A1_B2,5.818181818,Verb,1,9.39,3.28,3.32,2.196,6,,,
,,,,k,1,0.8281,,,,,,A1_B1,simplicity,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,34,34,124,1,40,A1_B2,2.772727273,Noun,1,9.89,1.96,7.05,1.845,10,,,
,,,,k,1,1.271,,,,,,A1_B1,ingredient,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,35,35,36,1,12,A1_B2,1.736842105,Noun,1,7.85,3.84,5.86,2.127,10,,,
,,,,k,1,0.7762,,,,,,A2_B1,community,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,36,36,38,1,12,A1_B2,6.458333333,Noun,1,7.28,3.52,6.09,3.172,9,,,
,,,,,0,,,,,,,A2_B1,uprising,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,37,37,14,1,5,A2_B1,5.285714286,Noun,1,11.17,2.41,4.33,1.778,8,,,
,,,,,1,,,,,,,A1_B2,postpone,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,38,38,13,1,5,A2_B1,2.916666667,Verb,1,10.42,2.29,4.32,2.301,8,,,
,,,,k,1,2.9598,,,,,,A1_B1,carpentry,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,39,39,8,1,4,A1_B2,2.857142857,Noun,1,9.83,3.48,4.87,1.38,9,,,
,,,,,1,,,,,,,A1_B2,accelerate,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,40,40,189,1,59,A1_B1,2.25,Verb,1,10.74,3.48,6.1,1.819,10,,,
,,,,k,1,1.0343,,,,,,A1_B1,genie,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,41,41,44,1,16,A1_B2,2.545454545,Noun,0.99,6.67,3.25,6.1,2.253,5,,,
,,,,k,1,0.8793,,,,,,A2_B1,diplomacy,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,42,42,74,1,23,A1_B1,5.772727273,Noun,1,10.89,2.04,5.53,1.914,9,,,
,,,,,1,,,,,,,A2_B2,interact,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,43,43,103,1,33,A1_B1,5.217391304,Verb,1,9.58,2.88,6,1.869,8,,,
,,,,,1,,,,,,,A1_B2,tremble,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,44,44,105,1,34,A1_B2,2.227272727,Verb,1,8.89,3.61,3.18,2.061,7,,,
,,,,,1,,,,,,,A1_B2,dissolve,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,45,45,5,1,2,A2_B1,2.208333333,Verb,1,9.2,3.15,5.43,1.982,8,,,
,,,,,1,,,,,,,A2_B2,attract,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,46,46,147,1,45,A2_B2,5.181818182,Verb,1,8.78,2.73,6.38,2.464,7,,,
,,,,,1,,,,,,,A2_B2,entrust,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,47,47,19,1,6,A2_B2,5.782608696,Verb,1,11.89,2.16,6.32,1.58,7,,,
,,,,,1,,,,,,,A1_B2,finalize,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,48,48,197,1,61,A1_B2,2.545454545,Verb,1,10.3,2.14,5.6,1.431,8,,,
,,,,k,1,1.1844,,,,,,A1_B1,allergy,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,49,49,104,1,34,A1_B2,2.714285714,Noun,1,8.11,3.68,2.9,1.94,7,,,
,,,,,1,,,,,,,A1_B2,terminate,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,50,50,1,1,1,A2_B1,2.80952381,Verb,1,11.21,2.29,3.05,2.149,9,,,
,,,,,1,,,,,,,A2_B2,implore,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,51,51,159,1,49,A2_B2,5,Verb,1,12.44,1.61,4.47,1.732,7,,,
,,,,,1,,,,,,,A2_B2,inhabit,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,52,52,143,1,44,A2_B1,5.130434783,Verb,1,12.22,3.21,5.38,1.532,7,,,
,,,,k,1,1.4761,,,,,,A2_B1,monogamy,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,53,53,262,1,7,A1_B1,5.6,Noun,1,13.06,1.7,6.43,1.672,8,,,
,,,,,1,,,,,,,A2_B2,mingle,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,54,54,83,1,26,A1_B2,5.391304348,Verb,1,10.29,3.17,5.21,2.14,6,,,
,,,,k,1,0.9911,,,,,,A2_B1,immigration,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,55,55,174,1,54,A2_B1,6.090909091,Noun,0.98,12.63,3.03,4,2.111,11,,,
,,,,k,1,0.8711,,,,,,A2_B1,humanity,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,56,56,146,1,45,A2_B2,6.19047619,Noun,1,9.28,2.36,6.78,2.696,8,,,
,,,,k,1,1.0339,,,,,,A1_B1,agility,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,57,57,48,1,17,A2_B1,2.869565217,Noun,1,10.06,2.38,6.55,1.38,7,,,
,,,,,1,,,,,,,A1_B2,straddle,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,58,58,133,1,42,A1_B1,2.714285714,Verb,1,9.11,3.74,5.62,1.431,8,,,
,,,,k,1,0.9885,,,,,,A2_B1,hometown,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,59,59,254,1,5,A2_B1,5.958333333,Noun,0.99,7.22,3.33,6.8,2.301,8,,,
,,,,,1,,,,,,,A2_B2,advise,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,60,60,171,1,53,A1_B1,5.590909091,Verb,1,8.89,2.03,5.44,2.795,6,,,
,,,,,1,,,,,,,A1_B2,decompose,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,61,61,113,1,36,A1_B2,1.826086957,Verb,1,10.48,3,2.42,1.398,9,,,
,,,,,1,,,,,,,A1_B2,absorb,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,62,62,29,1,9,A1_B1,2.166666667,Verb,1,8.83,3.11,5.5,2.009,6,,,
,,,,,1,,,,,,,A1_B2,adjust,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,63,63,137,1,43,A1_B2,2.608695652,Verb,1,8.43,2.93,5.76,2.459,6,,,
,,,,k,1,0.7618,,,,,,A1_B1,geology,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,64,64,100,1,33,A1_B1,2.708333333,Noun,1,10,2.9,5.89,1.681,7,,,
,,,,k,1,1.3208,,,,,,A1_B1,anomaly,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,65,65,156,1,49,A2_B2,2.111111111,Noun,1,12.44,1.79,4.84,1.806,7,,,
,,,,,1,,,,,,,A1_B2,hover,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,66,66,249,1,4,A1_B1,2.75,Verb,1,8.58,3.17,5.5,1.778,5,,,
,,,,,1,,,,,,,A1_B2,reflect,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,67,67,61,1,20,A2_B1,2.909090909,Verb,1,9.89,2.81,6.1,2.33,7,,,
,,,,k,0,2.1316,,,,,,A1_B2,replenish,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,68,68,125,1,40,A1_B2,2.166666667,Verb,1,9.33,2.18,6.9,1.431,9,,,
,,,,,0,,,,,,,A2_B1,stardom,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,69,69,118,1,37,A2_B1,5.238095238,Noun,1,10.06,2.26,5.85,1.505,7,,,
