participant,Word,ACC,RT,PoS,Socialness,Concreteness
R_10DwkKde5K2DOZg,gravity,1,1.5826,Noun,Nonsocial,2.86
R_10DwkKde5K2DOZg,govern,1,NA,Verb,Social,2.21
R_10DwkKde5K2DOZg,stealth,1,1.4913,Noun,Nonsocial,2.76
R_10DwkKde5K2DOZg,donate,1,NA,Verb,Social,2.88
R_10DwkKde5K2DOZg,fluke,1,2.9455,Noun,Nonsocial,2.34
R_10DwkKde5K2DOZg,nightfall,1,1.5236,Noun,Nonsocial,3.79
R_10DwkKde5K2DOZg,confine,1,NA,Verb,Nonsocial,3.07
R_10DwkKde5K2DOZg,timing,1,1.7184,Noun,Nonsocial,2.86
R_10DwkKde5K2DOZg,dynamo,1,1.6502,Noun,Nonsocial,2.71
R_10DwkKde5K2DOZg,metaphor,0,NA,Noun,Nonsocial,1.94
R_10DwkKde5K2DOZg,befriend,1,NA,Verb,Social,2.36
R_10DwkKde5K2DOZg,chapter,1,1.0582,Noun,Nonsocial,3.43
R_10DwkKde5K2DOZg,community,1,2.8681,Noun,Social,3.52
R_10DwkKde5K2DOZg,outcome,0,NA,Noun,Nonsocial,2.27
R_10DwkKde5K2DOZg,attract,0,1.8274,Verb,Social,2.73
R_10DwkKde5K2DOZg,onset,0,NA,Noun,Nonsocial,2.14
R_10DwkKde5K2DOZg,manhood,1,1.2173,Noun,Social,2.59
R_10DwkKde5K2DOZg,scramble,1,NA,Verb,Nonsocial,3.31
R_10DwkKde5K2DOZg,connect,1,NA,Verb,Social,2.88
R_10DwkKde5K2DOZg,privilege,1,2.403,Noun,Social,1.93
R_10DwkKde5K2DOZg,engage,1,NA,Verb,Social,2.07
R_10DwkKde5K2DOZg,radiate,0,1.9737,Verb,Nonsocial,2.93
R_10DwkKde5K2DOZg,unravel,1,NA,Verb,Nonsocial,2.59
R_10DwkKde5K2DOZg,foresight,1,1.8611,Noun,Nonsocial,1.79
R_10DwkKde5K2DOZg,openness,1,1.5178,Noun,Social,1.9
R_10DwkKde5K2DOZg,dissolve,0,1.9057,Verb,Nonsocial,3.15
R_10DwkKde5K2DOZg,ingredient,1,0.9419,Noun,Nonsocial,3.84
R_10DwkKde5K2DOZg,foreigner,1,1.0243,Noun,Social,3.32
R_10DwkKde5K2DOZg,excursion,0,NA,Noun,Social,2.93
R_10DwkKde5K2DOZg,compound,1,1.2377,Noun,Nonsocial,3.03
R_10DwkKde5K2DOZg,assist,1,NA,Verb,Social,2.52
R_10DwkKde5K2DOZg,layer,1,1.3981,Noun,Nonsocial,3.52
R_10DwkKde5K2DOZg,communicate,1,NA,Verb,Social,3.43
R_10DwkKde5K2DOZg,unhook,1,NA,Verb,Nonsocial,3.34
R_10DwkKde5K2DOZg,ancestry,0,NA,Noun,Social,2.83
R_10DwkKde5K2DOZg,refuel,0,1.5517,Verb,Nonsocial,3.53
R_10DwkKde5K2DOZg,distortion,0,NA,Noun,Nonsocial,2.3
R_10DwkKde5K2DOZg,warfare,1,1.2371,Noun,Social,3.03
R_10DwkKde5K2DOZg,countdown,0,NA,Noun,Nonsocial,3.3
R_10DwkKde5K2DOZg,untie,1,NA,Verb,Nonsocial,3.89
R_10DwkKde5K2DOZg,event,1,0.9831,Noun,Social,2.69
R_10DwkKde5K2DOZg,coexist,0,1.7502,Verb,Social,2.25
R_10DwkKde5K2DOZg,esteem,0,NA,Noun,Social,1.83
R_10DwkKde5K2DOZg,goodwill,1,1.4076,Noun,Social,2.54
R_10DwkKde5K2DOZg,pray,1,NA,Verb,Social,3.21
R_10DwkKde5K2DOZg,classify,0,2.8334,Verb,Nonsocial,2.41
R_10DwkKde5K2DOZg,presenter,1,1.2517,Noun,Social,3.96
R_10DwkKde5K2DOZg,uprising,0,NA,Noun,Social,2.41
R_10DwkKde5K2DOZg,bode,1,NA,Verb,Nonsocial,1.88
R_10DwkKde5K2DOZg,speech,1,1.3221,Noun,Social,3.37
R_10DwkKde5K2DOZg,amendment,1,1.2541,Noun,Nonsocial,2.44
R_10DwkKde5K2DOZg,obstruct,0,2.8668,Verb,Nonsocial,2.46
R_10DwkKde5K2DOZg,supervise,0,2.6214,Verb,Social,2.48
R_10DwkKde5K2DOZg,expire,1,NA,Verb,Nonsocial,2.73
R_10DwkKde5K2DOZg,consult,1,NA,Verb,Social,3.04
R_10DwkKde5K2DOZg,potency,0,NA,Noun,Nonsocial,2.32
R_10DwkKde5K2DOZg,reconstruct,0,2.197,Verb,Nonsocial,3.2
R_10DwkKde5K2DOZg,maintain,0,1.6475,Verb,Nonsocial,2.32
R_10DwkKde5K2DOZg,finale,1,2.8767,Noun,Nonsocial,2.76
R_10DwkKde5K2DOZg,nobility,0,NA,Noun,Social,2.81
R_10DwkKde5K2DOZg,feedback,0,NA,Noun,Social,2.48
R_10DwkKde5K2DOZg,fidelity,0,NA,Noun,Social,1.87
R_10DwkKde5K2DOZg,mutiny,1,2.7663,Noun,Social,2.24
R_10DwkKde5K2DOZg,attend,0,2.8675,Verb,Social,3.17
R_10DwkKde5K2DOZg,etiquette,1,1.4934,Noun,Social,2.15
R_10DwkKde5K2DOZg,dimension,1,1.5691,Noun,Nonsocial,2.5
R_10DwkKde5K2DOZg,mankind,0,NA,Noun,Social,2.97
R_10DwkKde5K2DOZg,calculate,1,NA,Verb,Nonsocial,2.74
R_10DwkKde5K2DOZg,outage,1,1.1629,Noun,Nonsocial,2.83
R_10DwkKde5K2DOZg,liberate,0,2.3941,Verb,Social,2.29
R_10DwkKde5K2DOZg,patriot,1,1.0964,Noun,Social,3.36
R_10DwkKde5K2DOZg,accompany,0,2.2441,Verb,Social,3.07
R_10DwkKde5K2DOZg,infiltrate,0,2.2506,Verb,Social,2.71
R_10DwkKde5K2DOZg,greet,0,2.7849,Verb,Social,2.96
R_10DwkKde5K2DOZg,negotiate,1,NA,Verb,Social,2
R_10DwkKde5K2DOZg,wrapper,1,0.7912,Noun,Nonsocial,4.39
R_10DwkKde5K2DOZg,persuade,1,NA,Verb,Social,2.07
R_10DwkKde5K2DOZg,attendance,1,0.9298,Noun,Social,3.07
R_10DwkKde5K2DOZg,banish,1,NA,Verb,Social,2.41
R_10DwkKde5K2DOZg,discontinue,0,1.804,Verb,Nonsocial,2.5
R_10DwkKde5K2DOZg,temptress,1,1.181,Noun,Social,3.08
R_10DwkKde5K2DOZg,recreate,1,NA,Verb,Nonsocial,2.41
R_10DwkKde5K2DOZg,simplify,1,NA,Verb,Nonsocial,1.89
R_10DwkKde5K2DOZg,reconcile,0,1.6535,Verb,Social,1.79
R_10DwkKde5K2DOZg,conclude,0,1.5849,Verb,Nonsocial,1.78
R_10DwkKde5K2DOZg,pacify,1,NA,Verb,Social,2.04
R_10DwkKde5K2DOZg,magnetism,1,1.1349,Noun,Nonsocial,2.54
R_10DwkKde5K2DOZg,dialect,1,1.1846,Noun,Social,2.67
R_10DwkKde5K2DOZg,option,1,1.569,Noun,Nonsocial,2.39
R_10DwkKde5K2DOZg,invade,1,NA,Verb,Social,3.28
R_10DwkKde5K2DOZg,retain,0,2.1006,Verb,Nonsocial,2.32
R_10DwkKde5K2DOZg,contain,0,2.072,Verb,Nonsocial,2.74
R_10DwkKde5K2DOZg,cherish,1,NA,Verb,Social,1.73
R_10DwkKde5K2DOZg,decompose,1,NA,Verb,Nonsocial,3
R_10DwkKde5K2DOZg,anomaly,1,1.2853,Noun,Nonsocial,1.79
R_10DwkKde5K2DOZg,volumes,1,2.7847,Noun,Nonsocial,3.03
R_10DwkKde5K2DOZg,category,1,1.4233,Noun,Nonsocial,2.82
R_10DwkKde5K2DOZg,enter,1,NA,Verb,Nonsocial,3.12
R_10DwkKde5K2DOZg,delusion,1,1.5491,Noun,Nonsocial,2.3
R_10DwkKde5K2DOZg,drawback,0,NA,Noun,Nonsocial,2.52
R_10DwkKde5K2DOZg,heroism,1,1.6667,Noun,Social,2.67
R_10DwkKde5K2DOZg,terminate,1,NA,Verb,Nonsocial,2.29
R_10DwkKde5K2DOZg,replace,1,NA,Verb,Nonsocial,3
R_10DwkKde5K2DOZg,time,1,2.2807,Noun,Nonsocial,3.07
R_10DwkKde5K2DOZg,labor,1,1.8223,Noun,Social,3.08
R_10DwkKde5K2DOZg,avenge,0,1.7288,Verb,Social,2.07
R_10DwkKde5K2DOZg,reproduce,1,NA,Verb,Social,3.48
R_10DwkKde5K2DOZg,simplicity,0,NA,Noun,Nonsocial,1.96
R_10DwkKde5K2DOZg,propose,0,2.4548,Verb,Social,2.19
R_10DwkKde5K2DOZg,history,1,0.9513,Noun,Social,2.96
R_10DwkKde5K2DOZg,reinforce,1,NA,Verb,Nonsocial,2.32
R_10DwkKde5K2DOZg,straighten,1,NA,Verb,Nonsocial,3.72
R_10DwkKde5K2DOZg,alignment,1,1.3186,Noun,Nonsocial,3.26
R_10DwkKde5K2DOZg,tremble,0,2.353,Verb,Nonsocial,3.61
R_10DwkKde5K2DOZg,compete,0,2.0614,Verb,Social,2.57
R_10DwkKde5K2DOZg,arise,1,NA,Verb,Nonsocial,3.17
R_10DwkKde5K2DOZg,guidance,1,1.5523,Noun,Social,2.46
R_10DwkKde5K2DOZg,impediment,1,2.8891,Noun,Nonsocial,2.56
R_10DwkKde5K2DOZg,assess,0,2.1792,Verb,Nonsocial,2.26
R_10DwkKde5K2DOZg,rearrange,1,NA,Verb,Nonsocial,3.26
R_10DwkKde5K2DOZg,ventilation,1,1.2843,Noun,Nonsocial,3.48
R_10DwkKde5K2DOZg,mingle,1,NA,Verb,Social,3.17
R_10DwkKde5K2DOZg,terrorize,1,NA,Verb,Social,2.84
R_10DwkKde5K2DOZg,stardom,1,1.7793,Noun,Social,2.26
R_10DwkKde5K2DOZg,enhance,1,NA,Verb,Nonsocial,2.21
R_10DwkKde5K2DOZg,aggressor,1,0.9866,Noun,Social,3.29
R_10DwkKde5K2DOZg,diversity,0,NA,Noun,Social,2.28
R_10DwkKde5K2DOZg,adulthood,1,1.2525,Noun,Social,2.5
R_10DwkKde5K2DOZg,minimize,0,1.5401,Verb,Nonsocial,2.37
R_10DwkKde5K2DOZg,advertise,0,1.7039,Verb,Social,2.81
R_10DwkKde5K2DOZg,tolerate,0,2.3081,Verb,Social,1.78
R_10DwkKde5K2DOZg,catalyst,1,1.4375,Noun,Nonsocial,2.85
R_10DwkKde5K2DOZg,career,1,1.6753,Noun,Social,2.54
R_10DwkKde5K2DOZg,bleeder,1,2.0354,Noun,Nonsocial,3.5
R_10DwkKde5K2DOZg,exhibition,1,1.2938,Noun,Social,3.52
R_10DwkKde5K2DOZg,finalize,1,NA,Verb,Nonsocial,2.14
R_10DwkKde5K2DOZg,bribery,0,NA,Noun,Social,2.89
R_10DwkKde5K2DOZg,conspire,1,NA,Verb,Social,2.67
R_10DwkKde5K2DOZg,series,1,0.9125,Noun,Nonsocial,2.92
R_10DwkKde5K2DOZg,hometown,1,1.2279,Noun,Social,3.33
R_10DwkKde5K2DOZg,summarize,0,2.0664,Verb,Nonsocial,2.32
R_10DwkKde5K2DOZg,taunt,0,1.6695,Verb,Social,2.93
R_10DwkKde5K2DOZg,interact,1,NA,Verb,Social,2.88
R_10DwkKde5K2DOZg,migraine,1,0.7854,Noun,Nonsocial,3.2
R_10DwkKde5K2DOZg,artistry,0,NA,Noun,Social,2
R_10DwkKde5K2DOZg,adjust,0,2.428,Verb,Nonsocial,2.93
R_10DwkKde5K2DOZg,stepson,1,0.8354,Noun,Social,3.68
R_10DwkKde5K2DOZg,reunite,1,NA,Verb,Social,2.86
R_10DwkKde5K2DOZg,tell,0,2.2184,Verb,Social,2.9
R_10DwkKde5K2DOZg,contribute,0,2.7065,Verb,Social,2.13
R_10DwkKde5K2DOZg,visualize,0,2.5092,Verb,Nonsocial,2.45
R_10DwkKde5K2DOZg,postpone,0,1.6159,Verb,Nonsocial,2.29
R_10DwkKde5K2DOZg,allergy,1,1.3976,Noun,Nonsocial,3.68
R_10DwkKde5K2DOZg,teamwork,1,1.3462,Noun,Social,2.37
R_10DwkKde5K2DOZg,humanity,1,2.6655,Noun,Social,2.36
R_10DwkKde5K2DOZg,hierarchy,1,1.5531,Noun,Social,2.59
R_10DwkKde5K2DOZg,morale,1,1.6426,Noun,Social,1.85
R_10VJGxwzaZ6vq8M,anomaly,0,NA,Noun,Nonsocial,1.79
R_10VJGxwzaZ6vq8M,adjust,1,NA,Verb,Nonsocial,2.93
R_10VJGxwzaZ6vq8M,banish,1,NA,Verb,Social,2.41
R_10VJGxwzaZ6vq8M,impregnate,1,NA,Verb,Social,3.29
R_10VJGxwzaZ6vq8M,catalyst,1,1.0292,Noun,Nonsocial,2.85
R_10VJGxwzaZ6vq8M,enter,1,NA,Verb,Nonsocial,3.12
R_10VJGxwzaZ6vq8M,persuade,1,NA,Verb,Social,2.07
R_10VJGxwzaZ6vq8M,delusion,0,NA,Noun,Nonsocial,2.3
R_10VJGxwzaZ6vq8M,negotiate,1,NA,Verb,Social,2
R_10VJGxwzaZ6vq8M,summary,1,1.923,Noun,Nonsocial,3.03
R_10VJGxwzaZ6vq8M,reinforce,1,NA,Verb,Nonsocial,2.32
R_10VJGxwzaZ6vq8M,greet,1,NA,Verb,Social,2.96
R_10VJGxwzaZ6vq8M,decompose,0,2.1612,Verb,Nonsocial,3
R_10VJGxwzaZ6vq8M,minimize,1,NA,Verb,Nonsocial,2.37
R_10VJGxwzaZ6vq8M,replicate,1,NA,Verb,Nonsocial,3.33
R_10VJGxwzaZ6vq8M,solitude,0,NA,Noun,Social,2.07
R_10VJGxwzaZ6vq8M,extend,1,NA,Verb,Nonsocial,2.93
R_10VJGxwzaZ6vq8M,heroism,1,2.4995,Noun,Social,2.67
R_10VJGxwzaZ6vq8M,pacify,0,1.9753,Verb,Social,2.04
R_10VJGxwzaZ6vq8M,volumes,1,2.4043,Noun,Nonsocial,3.03
R_10VJGxwzaZ6vq8M,terminate,1,NA,Verb,Nonsocial,2.29
R_10VJGxwzaZ6vq8M,speech,1,1.4934,Noun,Social,3.37
R_10VJGxwzaZ6vq8M,dimension,1,2.832,Noun,Nonsocial,2.5
R_10VJGxwzaZ6vq8M,savior,1,1.5609,Noun,Social,3.04
R_10VJGxwzaZ6vq8M,critique,0,NA,Noun,Social,2.55
R_10VJGxwzaZ6vq8M,trajectory,1,1.3323,Noun,Nonsocial,3.1
R_10VJGxwzaZ6vq8M,contain,0,1.213,Verb,Nonsocial,2.74
R_10VJGxwzaZ6vq8M,recreate,1,NA,Verb,Nonsocial,2.41
R_10VJGxwzaZ6vq8M,reunite,1,NA,Verb,Social,2.86
R_10VJGxwzaZ6vq8M,arise,1,NA,Verb,Nonsocial,3.17
R_10VJGxwzaZ6vq8M,discontinue,1,NA,Verb,Nonsocial,2.5
R_10VJGxwzaZ6vq8M,freshen,1,NA,Verb,Nonsocial,2.17
R_10VJGxwzaZ6vq8M,adulthood,1,1.1756,Noun,Social,2.5
R_10VJGxwzaZ6vq8M,hometown,1,2.0306,Noun,Social,3.33
R_10VJGxwzaZ6vq8M,impediment,0,NA,Noun,Nonsocial,2.56
R_10VJGxwzaZ6vq8M,hierarchy,1,0.9145,Noun,Social,2.59
R_10VJGxwzaZ6vq8M,obstruct,0,0.7169,Verb,Nonsocial,2.46
R_10VJGxwzaZ6vq8M,guidance,1,1.5421,Noun,Social,2.46
R_10VJGxwzaZ6vq8M,array,1,1.0922,Noun,Nonsocial,2.54
R_10VJGxwzaZ6vq8M,genie,1,1.2171,Noun,Nonsocial,3.25
R_10VJGxwzaZ6vq8M,conjure,1,NA,Verb,Nonsocial,2.3
R_10VJGxwzaZ6vq8M,unravel,1,NA,Verb,Nonsocial,2.59
R_10VJGxwzaZ6vq8M,cooperate,1,NA,Verb,Social,1.87
R_10VJGxwzaZ6vq8M,confess,1,NA,Verb,Social,2.57
R_10VJGxwzaZ6vq8M,mutiny,0,NA,Noun,Social,2.24
R_10VJGxwzaZ6vq8M,unload,1,NA,Verb,Nonsocial,3.21
R_10VJGxwzaZ6vq8M,wrapper,1,1.1864,Noun,Nonsocial,4.39
R_10VJGxwzaZ6vq8M,carpentry,1,1.4347,Noun,Nonsocial,3.48
R_10VJGxwzaZ6vq8M,preach,1,NA,Verb,Social,3.37
R_10VJGxwzaZ6vq8M,figment,1,2.0264,Noun,Nonsocial,2.04
R_10VJGxwzaZ6vq8M,attract,1,NA,Verb,Social,2.73
R_10VJGxwzaZ6vq8M,govern,1,NA,Verb,Social,2.21
R_10VJGxwzaZ6vq8M,refuel,1,NA,Verb,Nonsocial,3.53
R_10VJGxwzaZ6vq8M,confide,0,1.9003,Verb,Social,1.81
R_10VJGxwzaZ6vq8M,invade,0,2.7865,Verb,Social,3.28
R_10VJGxwzaZ6vq8M,dioxide,0,NA,Noun,Nonsocial,2.81
R_10VJGxwzaZ6vq8M,royalty,1,1.4072,Noun,Social,3.11
R_10VJGxwzaZ6vq8M,reference,1,2.4256,Noun,Nonsocial,2.38
R_10VJGxwzaZ6vq8M,impress,1,NA,Verb,Social,2.07
R_10VJGxwzaZ6vq8M,outcome,1,1.5546,Noun,Nonsocial,2.27
R_10VJGxwzaZ6vq8M,renew,0,1.4291,Verb,Nonsocial,2.07
R_10VJGxwzaZ6vq8M,classify,1,NA,Verb,Nonsocial,2.41
R_10VJGxwzaZ6vq8M,replenish,1,NA,Verb,Nonsocial,2.18
R_10VJGxwzaZ6vq8M,generate,1,NA,Verb,Nonsocial,2.23
R_10VJGxwzaZ6vq8M,stepson,1,0.9376,Noun,Social,3.68
R_10VJGxwzaZ6vq8M,taunt,0,1.0096,Verb,Social,2.93
R_10VJGxwzaZ6vq8M,activate,0,2.3693,Verb,Nonsocial,2.97
R_10VJGxwzaZ6vq8M,detail,1,1.5457,Noun,Nonsocial,2.5
R_10VJGxwzaZ6vq8M,straddle,0,1.276,Verb,Nonsocial,3.74
R_10VJGxwzaZ6vq8M,foresight,1,1.3861,Noun,Nonsocial,1.79
R_10VJGxwzaZ6vq8M,install,1,NA,Verb,Nonsocial,3.19
R_10VJGxwzaZ6vq8M,foreigner,1,1.4314,Noun,Social,3.32
R_10VJGxwzaZ6vq8M,migraine,1,1.8287,Noun,Nonsocial,3.2
R_10VJGxwzaZ6vq8M,immigration,1,1.683,Noun,Social,3.03
R_10VJGxwzaZ6vq8M,expire,0,1.8833,Verb,Nonsocial,2.73
R_10VJGxwzaZ6vq8M,excavation,1,1.8244,Noun,Nonsocial,3.23
R_10VJGxwzaZ6vq8M,bode,1,NA,Verb,Nonsocial,1.88
R_10VJGxwzaZ6vq8M,maximize,1,NA,Verb,Nonsocial,1.79
R_10VJGxwzaZ6vq8M,history,1,0.7985,Noun,Social,2.96
R_10VJGxwzaZ6vq8M,tolerate,0,1.663,Verb,Social,1.78
R_10VJGxwzaZ6vq8M,reflect,0,2.4124,Verb,Nonsocial,2.81
R_10VJGxwzaZ6vq8M,administer,1,NA,Verb,Social,2.53
R_10VJGxwzaZ6vq8M,postpone,1,NA,Verb,Nonsocial,2.29
R_10VJGxwzaZ6vq8M,series,1,2.2273,Noun,Nonsocial,2.92
R_10VJGxwzaZ6vq8M,stealth,1,0.8734,Noun,Nonsocial,2.76
R_10VJGxwzaZ6vq8M,motivate,1,NA,Verb,Social,2.07
R_10VJGxwzaZ6vq8M,propose,1,NA,Verb,Social,2.19
