participant,Word,ACC,RT,PoS,Socialness,Concreteness
R_10DwkKde5K2DOZg,excavation,1,0.9336,Noun,Nonsocial,3.23
R_10DwkKde5K2DOZg,talker,1,1.0562,Noun,Social,4.39
R_10DwkKde5K2DOZg,implore,0,2.8359,Verb,Social,1.61
R_10DwkKde5K2DOZg,freshen,0,1.2847,Verb,Nonsocial,2.17
R_10DwkKde5K2DOZg,immigration,0,NA,Noun,Social,3.03
R_10DwkKde5K2DOZg,hover,1,NA,Verb,Nonsocial,3.17
R_10DwkKde5K2DOZg,agility,0,NA,Noun,Nonsocial,2.38
R_10DwkKde5K2DOZg,remarry,0,1.5845,Verb,Social,2.72
R_10DwkKde5K2DOZg,critique,0,NA,Noun,Social,2.55
R_10DwkKde5K2DOZg,medley,1,1.1647,Noun,Nonsocial,2.93
R_10DwkKde5K2DOZg,congress,1,0.9811,Noun,Social,3.9
R_10DwkKde5K2DOZg,summary,1,1.1978,Noun,Nonsocial,3.03
R_10DwkKde5K2DOZg,vantage,0,NA,Noun,Nonsocial,1.93
R_10DwkKde5K2DOZg,rebellion,1,1.0183,Noun,Social,2.93
R_10DwkKde5K2DOZg,behavior,1,2.8052,Noun,Social,2.19
R_10DwkKde5K2DOZg,suffice,1,NA,Verb,Nonsocial,1.72
R_10DwkKde5K2DOZg,tourism,1,1.364,Noun,Social,3
R_10DwkKde5K2DOZg,pronounce,1,NA,Verb,Nonsocial,2.63
R_10DwkKde5K2DOZg,physics,1,0.826,Noun,Nonsocial,3.07
R_10DwkKde5K2DOZg,precedent,0,NA,Noun,Nonsocial,1.63
R_10DwkKde5K2DOZg,solution,1,0.8846,Noun,Nonsocial,2.61
R_10DwkKde5K2DOZg,renew,1,NA,Verb,Nonsocial,2.07
R_10DwkKde5K2DOZg,voucher,1,0.783,Noun,Nonsocial,3.81
R_10DwkKde5K2DOZg,restore,1,NA,Verb,Nonsocial,2.79
R_10DwkKde5K2DOZg,diplomacy,1,2.1663,Noun,Social,2.04
R_10DwkKde5K2DOZg,reflect,0,2.4517,Verb,Nonsocial,2.81
R_10DwkKde5K2DOZg,manipulate,1,NA,Verb,Social,2.55
R_10DwkKde5K2DOZg,seminar,1,1.5265,Noun,Social,3.48
R_10DwkKde5K2DOZg,conjure,1,NA,Verb,Nonsocial,2.3
R_10DwkKde5K2DOZg,replicate,1,NA,Verb,Nonsocial,3.33
R_10DwkKde5K2DOZg,savior,1,0.9161,Noun,Social,3.04
R_10DwkKde5K2DOZg,endorse,1,NA,Verb,Social,2.41
R_10DwkKde5K2DOZg,corruption,1,1.2516,Noun,Social,2.39
R_10DwkKde5K2DOZg,administer,0,2.3438,Verb,Social,2.53
R_10DwkKde5K2DOZg,fraction,1,1.1525,Noun,Nonsocial,3.1
R_10DwkKde5K2DOZg,humility,0,NA,Noun,Social,1.75
R_10DwkKde5K2DOZg,shallows,1,1.2436,Noun,Nonsocial,3.33
R_10DwkKde5K2DOZg,percentage,1,2.0294,Noun,Nonsocial,2.9
R_10DwkKde5K2DOZg,dominate,1,NA,Verb,Social,2.12
R_10DwkKde5K2DOZg,fortnight,1,0.87,Noun,Nonsocial,2.71
R_10DwkKde5K2DOZg,dynasty,1,1.06,Noun,Social,2.46
R_10DwkKde5K2DOZg,solitude,0,NA,Noun,Social,2.07
R_10DwkKde5K2DOZg,trajectory,1,2.5505,Noun,Nonsocial,3.1
R_10DwkKde5K2DOZg,impregnate,1,NA,Verb,Social,3.29
R_10DwkKde5K2DOZg,confide,1,NA,Verb,Social,1.81
R_10DwkKde5K2DOZg,preach,0,1.9517,Verb,Social,3.37
R_10DwkKde5K2DOZg,monarchy,1,1.1123,Noun,Social,2.55
R_10DwkKde5K2DOZg,inhabit,0,1.7506,Verb,Social,3.21
R_10DwkKde5K2DOZg,array,1,0.9486,Noun,Nonsocial,2.54
R_10DwkKde5K2DOZg,entrust,0,1.4518,Verb,Social,2.16
R_10DwkKde5K2DOZg,volume,1,1.4842,Noun,Nonsocial,3.07
R_10DwkKde5K2DOZg,authorize,1,NA,Verb,Social,2.22
R_10DwkKde5K2DOZg,size,1,1.1058,Noun,Nonsocial,3.13
R_10DwkKde5K2DOZg,absorb,1,NA,Verb,Nonsocial,3.11
R_10DwkKde5K2DOZg,reviewer,1,1.9906,Noun,Social,3.67
R_10DwkKde5K2DOZg,deduct,1,NA,Verb,Nonsocial,2.31
R_10DwkKde5K2DOZg,straddle,0,0.8773,Verb,Nonsocial,3.74
R_10DwkKde5K2DOZg,colony,1,0.7178,Noun,Social,3.77
R_10DwkKde5K2DOZg,extend,0,2.2271,Verb,Nonsocial,2.93
R_10DwkKde5K2DOZg,sterilize,0,0.9601,Verb,Nonsocial,2.97
R_10DwkKde5K2DOZg,management,1,1.1839,Noun,Social,2.72
R_10DwkKde5K2DOZg,soften,0,1.4565,Verb,Nonsocial,2.57
R_10DwkKde5K2DOZg,carpentry,1,1.5347,Noun,Nonsocial,3.48
R_10DwkKde5K2DOZg,dignify,1,NA,Verb,Social,1.71
R_10DwkKde5K2DOZg,hypnotize,1,NA,Verb,Social,2.48
R_10DwkKde5K2DOZg,subside,0,1.3907,Verb,Nonsocial,2.26
R_10DwkKde5K2DOZg,standstill,1,2.1593,Noun,Nonsocial,2.39
R_10DwkKde5K2DOZg,decipher,1,NA,Verb,Nonsocial,2.83
R_10DwkKde5K2DOZg,jiffy,0,NA,Noun,Nonsocial,2.33
R_10DwkKde5K2DOZg,motivate,0,2.1846,Verb,Social,2.07
R_10DwkKde5K2DOZg,confront,1,NA,Verb,Social,2.43
R_10DwkKde5K2DOZg,environment,1,1.316,Noun,Social,3.74
R_10DwkKde5K2DOZg,activate,1,NA,Verb,Nonsocial,2.97
R_10DwkKde5K2DOZg,make,0,1.9111,Verb,Nonsocial,2.67
R_10DwkKde5K2DOZg,lend,0,0.8331,Verb,Social,3.07
R_10DwkKde5K2DOZg,impress,1,NA,Verb,Social,2.07
R_10DwkKde5K2DOZg,invite,0,1.7948,Verb,Social,3
R_10DwkKde5K2DOZg,advise,1,NA,Verb,Social,2.03
R_10DwkKde5K2DOZg,cooperate,1,NA,Verb,Social,1.87
R_10DwkKde5K2DOZg,detail,1,1.4051,Noun,Nonsocial,2.5
R_10DwkKde5K2DOZg,congratulate,1,NA,Verb,Social,3.04
R_10DwkKde5K2DOZg,confess,0,2.073,Verb,Social,2.57
R_10DwkKde5K2DOZg,reference,1,1.5264,Noun,Nonsocial,2.38
R_10DwkKde5K2DOZg,lighten,1,NA,Verb,Nonsocial,2.93
R_10DwkKde5K2DOZg,maximize,1,NA,Verb,Nonsocial,1.79
R_10DwkKde5K2DOZg,participate,1,NA,Verb,Social,2.59
R_10DwkKde5K2DOZg,flirtation,1,2.1382,Noun,Social,2.19
R_10DwkKde5K2DOZg,persuasion,0,NA,Noun,Social,1.9
R_10DwkKde5K2DOZg,dioxide,1,0.8837,Noun,Nonsocial,2.81
R_10DwkKde5K2DOZg,sinner,1,1.462,Noun,Social,3.07
R_10DwkKde5K2DOZg,variation,0,NA,Noun,Nonsocial,2.46
R_10DwkKde5K2DOZg,genie,1,1.4627,Noun,Nonsocial,3.25
R_10DwkKde5K2DOZg,cleanse,0,2.2629,Verb,Nonsocial,3.31
R_10DwkKde5K2DOZg,figment,1,2.1159,Noun,Nonsocial,2.04
R_10DwkKde5K2DOZg,royalty,1,1.4113,Noun,Social,3.11
R_10DwkKde5K2DOZg,wrestle,0,1.8459,Verb,Social,4.33
R_10DwkKde5K2DOZg,deteriorate,0,2.9378,Verb,Nonsocial,3
R_10DwkKde5K2DOZg,fireside,0,NA,Noun,Nonsocial,3.84
R_10DwkKde5K2DOZg,unload,1,NA,Verb,Nonsocial,3.21
R_10DwkKde5K2DOZg,derive,1,NA,Verb,Nonsocial,2
R_10DwkKde5K2DOZg,replenish,0,1.7701,Verb,Nonsocial,2.18
R_10DwkKde5K2DOZg,monogamy,1,2.1146,Noun,Social,1.7
R_10DwkKde5K2DOZg,job,1,1.0301,Noun,Social,3.19
R_10DwkKde5K2DOZg,geology,1,2.1003,Noun,Nonsocial,2.9
R_10DwkKde5K2DOZg,accelerate,0,2.5173,Verb,Nonsocial,3.48
R_10DwkKde5K2DOZg,generate,0,2.7275,Verb,Nonsocial,2.23
R_10DwkKde5K2DOZg,seduce,0,1.3478,Verb,Social,2.18
R_10DwkKde5K2DOZg,install,0,1.8999,Verb,Nonsocial,3.19
