Word,Socialness,Concreteness,Valence_ext,Frequency,OLD,LDT_zRT,LDT_Accuracy,AoA.Rating,AoA.Test,WordType,zRTclean_mean,ACC,Hits,FalseAlarms,Hit_min_FA,Phonemes_no,phono_upoint,pld20_m,us_ldt_zrt_m,us_ldt_acc,us_ldt_zrtmdur_m,uk_ldt_zrt_m,uk_ldt_acc,uk_ldt_zrtmdur_m,sg_ldt_zrt_m,sg_ldt_acc,sg_ldt_zrtmdur_m,Length
absorb,2.1666666666666665,3.11,0.5,2.009,2.55,-0.537,0.97,8.83,6,NA,NA,NA,0.72,0.3,0.42,6,7,2.7,-0.263318776,0.955223881,-0.17929171,-0.496448017,0.982142857,-0.478086595,-0.633790796,0.981481481,-0.189129965,6
abstain,3.7,2.38,0.5999999999999996,1.431,2.75,-0.056,0.88,12.95,12,Abstract,0.14,93.75%,NA,NA,NA,6,5,2.55,-0.435401004,0.970588235,-0.331850921,-0.483599485,0.945454545,-0.006605669,-0.121566833,0.981132075,-0.713413569,7
absurdity,4.090909090909091,1.25,0.9400000000000004,1.518,3.75,0.223,0.94,13.21,10,Abstract,-0.02,100.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
abundance,3.1739130434782608,2.21,1.67,1.663,3.55,-0.269,0.97,10.45,8,Abstract,-0.02,96.77%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
abundant,3.2916666666666665,2.83,2.55,1.477,3.35,-0.344,0.97,12.84,8,NA,NA,NA,NA,NA,NA,8,8,2.65,-0.199867928,0.985294118,-0.336474725,-0.306672382,0.981818182,-0.096185404,-0.325903769,0.962264151,-0.761562333,8
abuse,4.954545454545454,2.71,3.4699999999999998,2.719,1.8,-0.703,0.97,8.61,6,NA,NA,NA,0.72,0.3,0.42,5,6,1.8,-0.701243652,0.984848485,-0.861574848,-0.454112729,1,-0.994724608,-0.885439547,1,-0.762184962,5
abusive,5.208333333333333,2.55,2.95,1.924,2.8,-0.112,0.97,9.58,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
abyss,1.8571428571428572,3.07,1.1,1.959,2.45,-0.34,0.76,11,12,NA,NA,NA,0.82,0.08,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
accelerant,2.363636363636364,3.4,0.41000000000000014,NA,NA,NA,NA,12.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
accelerate,2.25,3.48,1.0999999999999996,1.819,3.25,-0.206,0.97,10.74,6,NA,NA,NA,NA,NA,NA,9,9,3.65,-0.223225717,1,-0.531249734,-0.196527116,0.98245614,-0.549905195,-0.169562364,0.981818182,-0.662818819,10
accelerated,2.08,3.18,1.21,1.699,3.35,-0.129,0.94,10.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
acceleration,2.3043478260869565,2.97,1.1900000000000004,1.653,3.2,-0.249,0.91,9.84,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
accelerator,1.6956521739130437,4.32,0.6299999999999999,1.845,3.7,-0.073,1,10.27,6,Concrete,0.36,75.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
accent,4.428571428571429,3.26,1.4800000000000004,2.794,1.85,-0.492,1,8.6,6,NA,NA,NA,0.82,0.25,0.57,6,7,2.4,-0.325938778,0.925373134,-0.034684045,-0.143984674,0.888888889,0.243607659,-0.207500798,0.811320755,-0.038708885,6
accept,3.608695652173913,3.03,1.3899999999999997,3.43,2.35,-0.86,0.97,6.74,2,NA,NA,NA,0.73,0.38,0.35,6,7,2.55,-0.533388619,0.984848485,-0.566179377,-0.191658348,0.964285714,-0.163002435,-0.093387898,0.796296296,0.076141183,6
acceptance,5.130434782608695,2.21,1.8399999999999999,2.209,3.8,-0.332,0.97,8.56,8,Abstract,0.02,100.00%,NA,NA,NA,9,8,3.55,-0.011630209,0.955223881,-0.798667957,-0.090277776,0.981481481,-0.542379654,0.051295444,0.962264151,-0.492774159,10
access,2.8095238095238093,2.71,1.6799999999999997,3.208,2,-0.474,0.97,9.1,10,NA,NA,NA,0.68,0.27,0.42,5,5,2.1,-0.642629144,0.984848485,-0.646094862,-0.436084357,0.946428571,-0.260089651,-0.295182372,1,-0.354817514,6
accessible,4.130434782608695,1.8,1.6799999999999997,1.756,3.75,-0.385,1,9.94,10,Abstract,0,93.55%,NA,NA,NA,9,7,3.05,-0.075533316,0.984848485,-0.079214807,-0.247079014,0.964912281,-0.113478477,-0.120399169,1,-0.160968775,10
accessory,2.25,4.1,0.34999999999999964,2.17,3.25,-0.327,0.97,11.15,6,Concrete,0.21,90.63%,NA,NA,NA,8,7,3.15,-0.093057869,1,-0.183833652,-0.25054233,0.981481481,-0.005230705,0.299566588,0.962264151,-0.275539319,9
accident,4.125,3.26,2.45,3.618,2.7,-0.61,0.97,5.3,2,NA,NA,NA,NA,NA,NA,8,6,2.75,-0.581174204,0.96969697,-0.66357303,-0.431782579,0.98245614,-0.801583338,-0.424264753,0.945454545,-0.493583289,8
