item,e1hit,e1fa,e1h_fa,e2hit,e2fa,e2h_fa,both_hit,both_fa,both_h_fa,d_both,c_both,logzeno,sub_freq,aoa,img_rating,pon,old,pld,Length
dog,0.67,0.07,0.60,0.70,0.10,0.60,0.68,0.08,0.60,1.86,0.45,2.42,5.67,2.22,6.90,11.00,1.20,1.45,3.00
doll,0.75,0.14,0.61,0.77,0.23,0.53,0.76,0.19,0.57,1.60,0.10,1.27,3.70,2.44,6.40,3.00,1.35,1.25,4.00
dome,0.79,0.21,0.58,0.83,0.27,0.57,0.81,0.24,0.57,1.59,-0.08,0.90,3.67,4.59,4.80,6.00,1.20,1.00,4.00
done,0.55,0.18,0.37,0.50,0.20,0.30,0.53,0.19,0.34,0.95,0.41,2.49,5.93,2.94,2.30,3.00,1.00,1.00,4.00
doom,0.57,0.17,0.40,0.90,0.27,0.63,0.74,0.22,0.52,1.40,0.07,0.64,3.38,4.59,3.40,9.00,1.60,1.00,4.00
dope,0.83,0.29,0.54,0.70,0.17,0.53,0.76,0.23,0.54,1.47,0.02,0.62,3.93,5.22,4.90,13.00,1.15,1.00,4.00
dorm,0.66,0.11,0.55,0.87,0.10,0.77,0.76,0.10,0.66,1.97,0.28,0.35,5.83,5.47,6.00,5.00,1.80,1.75,4.00
dose,0.66,0.18,0.48,0.83,0.27,0.57,0.74,0.22,0.52,1.42,0.05,0.82,3.90,4.38,3.30,2.00,1.15,1.55,4.00
doubt,0.86,0.41,0.44,0.73,0.20,0.53,0.80,0.31,0.49,1.33,-0.16,1.73,5.23,4.25,2.50,1.00,1.95,1.15,5.00
dough,0.77,0.11,0.66,0.80,0.20,0.60,0.78,0.16,0.63,1.80,0.11,1.03,3.67,3.97,5.90,2.00,1.70,1.00,5.00
dour,0.62,0.11,0.51,0.77,0.00,0.77,0.69,0.05,0.64,2.12,0.55,0.21,1.63,6.58,1.50,7.00,1.50,1.30,4.00
douse,0.76,0.36,0.40,0.93,0.27,0.67,0.85,0.31,0.53,1.51,-0.26,0.11,2.70,5.66,2.60,8.00,1.65,1.35,5.00
dove,0.79,0.32,0.47,0.97,0.30,0.67,0.88,0.31,0.57,1.67,-0.34,1.00,3.41,3.53,6.50,14.00,1.15,1.20,4.00
down,0.54,0.28,0.26,0.70,0.17,0.53,0.62,0.22,0.40,1.07,0.23,3.14,6.13,2.35,4.00,8.00,1.55,1.30,4.00
drab,0.71,0.07,0.65,0.77,0.10,0.67,0.74,0.08,0.66,2.02,0.37,0.60,2.70,5.72,2.70,15.00,1.60,1.60,4.00
draft,0.64,0.38,0.26,0.87,0.27,0.60,0.75,0.32,0.43,1.15,-0.12,1.26,4.10,4.66,4.00,11.00,1.65,1.40,5.00
drag,0.54,0.34,0.19,0.77,0.27,0.50,0.65,0.31,0.35,0.90,0.06,1.14,3.83,3.69,4.50,22.00,1.60,1.50,4.00
drain,0.67,0.20,0.47,0.87,0.17,0.70,0.77,0.18,0.58,1.63,0.09,1.13,4.37,3.78,5.50,21.00,1.70,1.25,5.00
drake,0.79,0.17,0.61,0.90,0.20,0.70,0.84,0.19,0.66,1.90,-0.06,0.80,1.93,6.53,3.70,21.00,1.85,1.65,5.00
drank,0.83,0.18,0.65,0.57,0.13,0.43,0.70,0.16,0.54,1.53,0.25,1.36,5.60,3.48,4.60,23.00,1.65,1.55,5.00
drape,0.79,0.10,0.68,0.87,0.23,0.63,0.83,0.17,0.66,1.90,0.01,0.30,3.20,4.59,4.70,12.00,1.70,1.50,5.00
draught,0.71,0.41,0.30,0.87,0.23,0.63,0.79,0.32,0.47,1.27,-0.18,0.46,3.13,6.03,2.40,1.00,2.25,1.40,7.00
draw,0.62,0.21,0.41,0.70,0.23,0.47,0.66,0.22,0.44,1.17,0.17,1.91,4.77,2.66,5.00,19.00,1.55,1.65,4.00
drawl,0.60,0.22,0.38,0.77,0.37,0.40,0.68,0.29,0.39,1.02,0.03,0.18,2.24,5.56,2.80,11.00,1.70,1.50,5.00
dread,0.68,0.24,0.44,0.90,0.20,0.70,0.79,0.22,0.57,1.57,-0.02,0.97,3.63,4.81,2.70,9.00,1.70,1.50,5.00
dream,0.52,0.21,0.30,0.70,0.17,0.53,0.61,0.19,0.42,1.15,0.30,1.83,5.23,3.09,4.90,11.00,1.65,1.60,5.00
dreamt,0.86,0.07,0.79,0.70,0.03,0.67,0.78,0.05,0.73,2.40,0.42,0.23,3.93,4.53,3.20,1.00,1.85,1.95,6.00
dredge,0.67,0.23,0.43,0.80,0.43,0.37,0.73,0.33,0.40,1.05,-0.10,0.24,2.13,6.22,2.60,9.00,2.25,1.90,6.00
dress,0.68,0.07,0.61,0.63,0.13,0.50,0.66,0.10,0.55,1.68,0.44,1.81,5.50,2.67,6.00,15.00,1.75,1.65,5.00
drew,0.62,0.18,0.44,0.83,0.27,0.57,0.73,0.22,0.50,1.37,0.08,1.88,4.33,3.56,3.90,26.00,1.75,1.15,4.00
drift,0.79,0.50,0.29,0.87,0.47,0.40,0.83,0.48,0.35,1.00,-0.46,1.08,3.83,4.45,3.50,9.00,1.80,1.65,5.00
drill,0.75,0.24,0.51,0.77,0.43,0.33,0.76,0.34,0.42,1.12,-0.14,1.29,3.93,3.75,6.00,28.00,1.80,1.45,5.00
drink,0.57,0.31,0.26,0.80,0.30,0.50,0.69,0.31,0.38,0.99,0.01,1.96,6.13,2.41,5.70,19.00,1.75,1.70,5.00
drip,0.68,0.17,0.51,0.80,0.13,0.67,0.74,0.15,0.59,1.67,0.19,0.75,3.80,3.77,4.90,26.00,1.70,1.45,4.00
drive,0.59,0.32,0.26,0.57,0.20,0.37,0.58,0.26,0.32,0.83,0.22,2.00,5.97,3.34,5.30,13.00,1.65,1.60,5.00
drone,0.72,0.25,0.47,0.87,0.33,0.53,0.80,0.29,0.50,1.37,-0.14,0.40,2.31,6.09,3.10,16.00,1.75,1.50,5.00
drool,0.76,0.18,0.58,0.80,0.20,0.60,0.78,0.19,0.59,1.65,0.06,0.05,3.69,3.34,5.00,8.00,1.95,1.70,5.00
droop,0.67,0.37,0.30,0.73,0.27,0.47,0.70,0.32,0.38,1.00,-0.03,0.44,2.97,4.94,3.60,12.00,1.85,1.45,5.00
drop,0.41,0.29,0.13,0.63,0.27,0.37,0.52,0.28,0.25,0.65,0.27,1.83,4.83,3.25,4.30,22.00,1.75,1.65,4.00
drought,0.76,0.32,0.44,0.80,0.30,0.50,0.78,0.31,0.47,1.26,-0.14,0.88,3.27,5.28,3.80,1.00,1.90,1.50,7.00
drove,0.64,0.17,0.47,0.73,0.33,0.40,0.69,0.25,0.44,1.16,0.09,1.83,5.53,4.16,4.40,14.00,1.60,1.75,5.00
drown,0.76,0.18,0.58,0.73,0.20,0.53,0.75,0.19,0.56,1.54,0.11,0.84,3.30,4.06,4.70,8.00,1.65,1.60,5.00
drum,0.75,0.24,0.51,0.90,0.40,0.50,0.83,0.32,0.50,1.40,-0.23,1.31,3.73,3.13,6.40,16.00,1.80,1.50,4.00
drunk,0.83,0.21,0.61,0.83,0.23,0.60,0.83,0.22,0.61,1.72,-0.10,1.17,5.53,5.35,5.00,19.00,1.75,1.70,5.00
dry,0.55,0.14,0.41,0.67,0.07,0.60,0.61,0.10,0.50,1.53,0.49,2.22,5.27,2.91,3.80,17.00,1.70,1.25,3.00
duck,0.79,0.34,0.44,0.77,0.20,0.57,0.78,0.27,0.50,1.36,-0.08,1.50,4.03,2.47,6.50,17.00,1.35,1.00,4.00
duct,0.89,0.14,0.75,0.73,0.27,0.47,0.81,0.20,0.61,1.72,-0.03,0.57,3.30,5.23,3.50,1.00,1.75,1.40,4.00
dud,0.78,0.03,0.74,0.80,0.13,0.67,0.79,0.08,0.71,2.19,0.29,0.46,2.83,4.88,3.00,8.00,1.40,1.00,3.00
dude,0.82,0.10,0.72,0.67,0.07,0.60,0.74,0.09,0.66,2.03,0.36,0.58,5.34,4.32,5.20,6.00,1.55,1.00,4.00
due,0.55,0.18,0.37,0.57,0.10,0.47,0.56,0.14,0.42,1.23,0.47,1.81,5.47,4.34,2.10,12.00,1.10,1.00,3.00
dug,0.71,0.31,0.40,0.80,0.30,0.50,0.76,0.31,0.45,1.21,-0.09,1.58,3.57,3.50,4.70,18.00,1.15,1.00,3.00
duke,0.77,0.30,0.47,0.93,0.10,0.83,0.85,0.20,0.65,1.88,-0.09,1.27,3.63,5.00,4.60,3.00,1.55,1.00,4.00
dull,0.83,0.44,0.39,0.87,0.37,0.50,0.85,0.41,0.44,1.28,-0.40,1.52,4.43,4.13,3.00,10.00,1.15,1.00,4.00
dumb,0.79,0.25,0.54,0.73,0.10,0.63,0.76,0.18,0.59,1.65,0.11,1.19,5.07,3.13,3.50,5.00,1.85,1.00,4.00
dump,0.79,0.41,0.37,0.80,0.17,0.63,0.79,0.29,0.50,1.37,-0.13,1.06,4.53,4.00,4.70,17.00,1.50,1.35,4.00
dune,0.64,0.28,0.37,0.83,0.13,0.70,0.74,0.20,0.53,1.46,0.09,0.69,2.47,4.68,4.50,5.00,1.25,1.00,4.00
dung,0.75,0.10,0.65,0.77,0.10,0.67,0.76,0.10,0.66,1.97,0.29,0.55,2.50,5.25,3.70,14.00,1.60,1.10,4.00
dunk,0.70,0.11,0.59,0.80,0.17,0.63,0.75,0.14,0.61,1.76,0.21,0.09,3.83,3.97,4.90,19.00,1.30,1.35,4.00
dupe,0.61,0.21,0.40,0.73,0.07,0.67,0.67,0.14,0.53,1.54,0.33,0.07,2.03,5.84,1.90,2.00,1.70,1.00,4.00
dusk,0.83,0.37,0.46,0.70,0.23,0.47,0.77,0.30,0.46,1.25,-0.10,1.11,3.27,4.41,5.20,6.00,1.50,1.45,4.00
dust,0.72,0.25,0.47,0.83,0.20,0.63,0.78,0.23,0.55,1.52,-0.01,1.89,4.23,3.44,5.20,10.00,1.40,1.40,4.00
dwarf,0.90,0.21,0.68,0.93,0.33,0.60,0.91,0.27,0.64,1.97,-0.39,1.02,3.03,4.00,6.40,3.00,1.95,1.85,5.00
dwell,0.61,0.41,0.19,0.87,0.27,0.60,0.74,0.34,0.40,1.05,-0.11,0.70,3.00,5.44,3.10,17.00,1.75,1.65,5.00
each,0.43,0.00,0.43,0.63,0.10,0.53,0.53,0.05,0.48,1.73,0.78,3.10,6.20,3.19,2.30,10.00,1.65,1.45,4.00
ear,0.62,0.21,0.41,0.57,0.07,0.50,0.59,0.14,0.45,1.32,0.42,1.78,5.53,2.28,6.80,16.00,1.00,1.00,3.00
earl,0.69,0.04,0.65,0.90,0.13,0.77,0.79,0.08,0.71,2.20,0.28,1.13,2.20,6.06,3.20,2.00,1.70,1.45,4.00
earn,0.59,0.18,0.41,0.67,0.10,0.57,0.63,0.14,0.49,1.41,0.38,1.61,4.80,4.03,3.00,3.00,1.50,1.30,4.00
earth,0.74,0.10,0.64,0.73,0.10,0.63,0.74,0.10,0.64,1.92,0.32,2.73,5.43,2.93,6.50,2.00,1.85,1.40,5.00
ease,0.54,0.03,0.50,0.63,0.13,0.50,0.58,0.08,0.50,1.59,0.58,1.36,4.17,4.41,2.60,3.00,1.40,1.00,4.00
east,0.68,0.07,0.61,0.77,0.00,0.77,0.72,0.03,0.69,2.41,0.61,2.30,4.73,3.66,4.20,5.00,1.25,1.60,4.00
eat,0.52,0.25,0.27,0.67,0.17,0.50,0.59,0.21,0.38,1.04,0.29,2.50,6.67,2.19,4.80,15.00,1.00,1.00,3.00
ebb,0.83,0.11,0.72,0.77,0.07,0.70,0.80,0.09,0.71,2.19,0.25,0.50,1.90,6.47,1.40,2.00,1.95,1.60,3.00
edge,0.66,0.14,0.51,0.63,0.10,0.53,0.64,0.12,0.52,1.54,0.40,2.06,4.57,3.74,5.10,9.00,1.70,1.65,4.00
eel,0.85,0.07,0.79,0.73,0.10,0.63,0.79,0.08,0.71,2.20,0.28,0.77,2.60,3.72,6.30,10.00,1.65,1.00,3.00
eight,0.66,0.07,0.58,0.60,0.00,0.60,0.63,0.04,0.59,2.13,0.74,2.01,5.65,2.35,5.90,3.00,1.45,1.00,5.00
elf,0.86,0.17,0.68,0.90,0.07,0.83,0.88,0.12,0.76,2.35,0.00,0.50,3.00,3.25,6.60,4.00,1.80,1.75,3.00
elk,0.71,0.10,0.61,0.80,0.07,0.73,0.76,0.09,0.67,2.07,0.34,0.89,2.47,4.39,6.00,2.00,1.80,1.70,3.00
elm,0.63,0.13,0.50,0.87,0.10,0.77,0.75,0.12,0.63,1.86,0.26,0.80,2.87,5.16,5.80,2.00,1.95,1.80,3.00
end,0.62,0.25,0.37,0.77,0.07,0.70,0.69,0.16,0.54,1.51,0.25,2.65,5.69,2.63,3.00,13.00,1.50,1.20,3.00
etch,0.70,0.00,0.70,0.83,0.07,0.77,0.77,0.03,0.73,2.56,0.55,0.15,2.30,5.34,3.20,9.00,1.80,1.70,4.00
eve,0.86,0.10,0.75,0.97,0.10,0.87,0.91,0.10,0.81,2.62,-0.04,1.09,3.40,3.88,3.30,3.00,1.75,1.55,3.00
ewe,0.93,0.07,0.86,0.97,0.13,0.83,0.95,0.10,0.85,2.91,-0.19,0.45,2.23,5.65,3.90,1.00,1.70,1.00,3.00
face,0.54,0.21,0.33,0.77,0.10,0.67,0.65,0.15,0.50,1.41,0.32,2.57,5.97,2.47,6.40,12.00,1.20,1.00,4.00
fact,0.43,0.24,0.19,0.63,0.13,0.50,0.53,0.19,0.34,0.97,0.41,2.41,5.27,3.59,2.60,6.00,1.55,1.25,4.00
fad,0.71,0.21,0.51,0.80,0.13,0.67,0.76,0.17,0.59,1.65,0.13,0.54,3.21,5.22,2.80,17.00,1.15,1.00,3.00
fade,0.61,0.24,0.37,0.63,0.27,0.37,0.62,0.25,0.37,0.97,0.18,0.78,3.93,4.50,4.00,12.00,1.35,1.00,4.00
faint,0.71,0.41,0.30,0.90,0.27,0.63,0.81,0.34,0.47,1.28,-0.23,1.39,3.53,4.22,4.60,6.00,1.70,1.50,5.00
fair,0.52,0.32,0.20,0.63,0.37,0.27,0.58,0.34,0.23,0.59,0.11,1.92,5.17,3.53,3.80,10.00,1.45,1.00,4.00
faith,0.66,0.14,0.51,0.80,0.23,0.57,0.73,0.19,0.54,1.49,0.14,1.48,4.67,3.94,3.50,2.00,1.95,1.40,5.00
fake,0.77,0.37,0.40,0.77,0.10,0.67,0.77,0.24,0.53,1.45,0.00,0.79,4.91,3.78,3.20,21.00,1.10,1.00,4.00
false,0.47,0.22,0.24,0.67,0.23,0.43,0.57,0.23,0.34,0.91,0.29,1.38,4.87,3.72,2.70,2.00,2.00,1.75,5.00
fame,0.66,0.39,0.26,0.57,0.27,0.30,0.61,0.33,0.28,0.72,0.08,1.13,3.80,4.28,3.50,12.00,1.15,1.00,4.00
fan,0.67,0.15,0.52,0.70,0.20,0.50,0.68,0.17,0.51,1.42,0.23,1.12,4.55,2.94,6.00,20.00,1.00,1.00,3.00
fang,0.61,0.10,0.50,0.77,0.17,0.60,0.69,0.14,0.55,1.59,0.31,0.87,2.80,3.77,6.10,16.00,1.50,1.25,4.00
far,0.41,0.32,0.09,0.57,0.10,0.47,0.49,0.21,0.28,0.78,0.41,2.63,5.80,2.66,3.50,14.00,1.00,1.05,3.00
farce,0.72,0.11,0.62,0.83,0.23,0.60,0.78,0.17,0.61,1.72,0.09,0.26,3.20,6.28,2.10,1.00,1.80,1.70,5.00
fare,0.66,0.25,0.41,0.53,0.10,0.43,0.59,0.18,0.42,1.17,0.35,0.90,4.07,5.13,2.50,20.00,1.00,1.00,4.00
farm,0.71,0.07,0.65,0.77,0.23,0.53,0.74,0.15,0.59,1.68,0.19,2.19,3.90,3.06,6.20,5.00,1.55,1.60,4.00
fast,0.32,0.14,0.18,0.87,0.30,0.57,0.59,0.22,0.38,1.01,0.27,2.23,5.50,2.77,3.00,9.00,1.30,1.05,4.00
fat,0.79,0.04,0.76,0.77,0.17,0.60,0.78,0.10,0.68,2.05,0.25,1.93,5.60,2.91,5.80,24.00,1.00,1.00,3.00
fate,0.69,0.07,0.62,0.63,0.20,0.43,0.66,0.14,0.53,1.52,0.34,1.26,4.07,4.84,3.00,19.00,1.00,1.00,4.00
fault,0.68,0.41,0.26,0.83,0.17,0.67,0.76,0.29,0.47,1.25,-0.07,1.44,4.93,3.48,2.10,2.00,1.80,1.35,5.00
fawn,0.76,0.21,0.54,0.83,0.13,0.70,0.80,0.17,0.62,1.77,0.06,0.75,2.47,4.75,6.30,11.00,1.60,1.00,4.00
fear,0.67,0.37,0.30,0.90,0.37,0.53,0.78,0.37,0.42,1.12,-0.22,2.02,4.93,3.16,2.90,16.00,1.25,1.00,4.00
feast,0.69,0.29,0.40,0.97,0.17,0.80,0.83,0.23,0.60,1.70,-0.10,1.27,3.30,3.94,5.50,5.00,1.65,1.35,5.00
feat,0.62,0.04,0.58,0.67,0.17,0.50,0.64,0.10,0.54,1.64,0.45,0.70,2.83,5.65,2.10,15.00,1.20,1.00,4.00
fed,0.41,0.27,0.14,0.63,0.37,0.27,0.52,0.32,0.20,0.53,0.21,1.63,4.53,3.19,3.40,16.00,1.25,1.00,3.00
fee,0.52,0.03,0.49,0.80,0.17,0.63,0.66,0.10,0.56,1.69,0.44,1.16,4.10,4.25,3.70,20.00,1.20,1.00,3.00
feed,0.55,0.43,0.12,0.63,0.17,0.47,0.59,0.30,0.29,0.77,0.15,1.88,5.03,3.13,4.40,18.00,1.10,1.00,4.00
feel,0.45,0.21,0.23,0.80,0.27,0.53,0.62,0.24,0.38,1.02,0.19,2.53,6.00,3.00,2.90,10.00,1.40,1.00,4.00
feet,0.67,0.23,0.43,0.80,0.30,0.50,0.73,0.27,0.47,1.25,0.00,2.56,5.67,2.31,6.70,12.00,1.50,1.00,5.00
fell,0.67,0.20,0.47,0.60,0.20,0.40,0.63,0.20,0.43,1.18,0.25,2.20,5.17,2.84,3.70,17.00,1.30,1.00,4.00
felt,0.48,0.25,0.23,0.73,0.17,0.57,0.61,0.21,0.40,1.09,0.27,2.54,5.50,3.63,3.10,10.00,1.60,1.40,4.00
fence,0.76,0.18,0.58,0.83,0.33,0.50,0.80,0.26,0.54,1.48,-0.09,1.69,3.87,3.16,6.60,5.00,1.75,1.50,5.00
fern,0.67,0.20,0.47,0.77,0.17,0.60,0.72,0.18,0.53,1.48,0.16,0.95,2.57,4.38,6.20,7.00,1.90,1.30,4.00
fetch,0.66,0.36,0.30,0.70,0.30,0.40,0.68,0.33,0.35,0.90,-0.01,1.05,3.50,4.03,4.00,9.00,1.90,1.85,5.00
feud,0.72,0.14,0.58,0.87,0.13,0.73,0.80,0.14,0.66,1.91,0.13,0.51,2.97,5.25,3.80,1.00,1.75,1.40,4.00
few,0.63,0.20,0.43,0.67,0.07,0.60,0.65,0.13,0.51,1.49,0.37,2.77,5.77,3.45,2.70,26.00,1.45,1.10,3.00
fiend,0.79,0.03,0.75,0.90,0.13,0.77,0.84,0.08,0.76,2.39,0.19,0.41,3.17,5.66,3.40,1.00,1.80,1.40,5.00
fierce,0.64,0.14,0.50,0.83,0.27,0.57,0.74,0.20,0.54,1.47,0.10,1.38,3.50,4.91,3.60,2.00,2.20,1.60,6.00
fife,0.83,0.07,0.76,0.87,0.10,0.77,0.85,0.09,0.76,2.39,0.17,0.49,1.72,6.63,2.20,6.00,1.65,1.50,4.00
fifth,0.64,0.17,0.47,0.83,0.07,0.77,0.74,0.12,0.62,1.81,0.27,1.51,5.00,3.38,4.40,1.00,1.90,1.95,5.00
fig,0.76,0.29,0.47,0.80,0.13,0.67,0.78,0.21,0.57,1.58,0.02,0.57,3.00,4.63,5.10,15.00,1.30,1.15,3.00
fight,0.64,0.31,0.33,0.67,0.27,0.40,0.65,0.29,0.37,0.96,0.08,2.03,4.63,3.09,4.80,18.00,1.50,1.00,5.00
file,0.66,0.18,0.48,0.73,0.20,0.53,0.69,0.19,0.50,1.39,0.19,1.69,4.97,4.28,5.80,13.00,1.15,1.00,4.00
fill,0.55,0.36,0.19,0.70,0.23,0.47,0.63,0.30,0.33,0.86,0.11,1.81,5.03,3.13,3.50,28.00,1.05,1.00,4.00
film,0.53,0.30,0.24,0.70,0.20,0.50,0.62,0.25,0.37,0.98,0.19,1.71,5.31,3.56,6.00,1.00,1.75,1.55,4.00
filth,0.82,0.17,0.65,0.83,0.23,0.60,0.83,0.20,0.62,1.78,-0.06,0.50,3.30,4.81,4.60,2.00,1.85,1.55,5.00
fin,0.72,0.21,0.51,0.80,0.23,0.57,0.76,0.22,0.54,1.47,0.02,0.98,2.87,4.09,5.30,20.00,1.00,1.00,3.00
find,0.39,0.24,0.15,0.57,0.13,0.43,0.48,0.19,0.29,0.84,0.47,2.87,5.67,2.75,2.50,9.00,1.15,1.15,4.00
fine,0.62,0.21,0.41,0.57,0.17,0.40,0.59,0.19,0.40,1.11,0.32,2.21,6.17,3.47,2.40,22.00,1.00,1.00,4.00
fir,0.79,0.11,0.69,0.80,0.07,0.73,0.80,0.09,0.71,2.19,0.27,0.81,2.07,5.25,3.50,4.00,1.35,1.40,3.00
fire,0.52,0.07,0.45,0.60,0.20,0.40,0.56,0.14,0.42,1.25,0.48,2.41,4.20,2.91,6.50,12.00,1.10,1.00,4.00
firm,0.50,0.21,0.29,0.77,0.10,0.67,0.63,0.15,0.48,1.36,0.34,1.75,4.47,4.28,4.10,2.00,1.70,1.45,4.00
first,0.33,0.13,0.20,0.53,0.13,0.40,0.43,0.13,0.30,0.94,0.64,3.14,6.23,2.57,4.10,2.00,1.95,1.70,5.00
fish,0.57,0.10,0.47,0.70,0.17,0.53,0.64,0.14,0.50,1.45,0.38,2.42,4.27,2.52,6.80,5.00,1.75,1.30,4.00
fist,0.62,0.18,0.44,0.73,0.17,0.57,0.68,0.17,0.50,1.40,0.24,1.14,4.00,3.09,6.50,9.00,1.55,1.30,4.00
fit,0.50,0.28,0.22,0.60,0.13,0.47,0.55,0.20,0.35,0.95,0.35,1.92,4.97,3.13,3.10,26.00,1.05,1.00,3.00
five,0.71,0.21,0.51,0.80,0.10,0.70,0.76,0.15,0.60,1.72,0.16,2.41,5.73,2.38,5.80,13.00,1.50,1.55,4.00
fix,0.55,0.21,0.34,0.73,0.20,0.53,0.64,0.21,0.44,1.18,0.23,1.49,5.47,3.13,3.20,4.00,1.55,1.30,3.00
flag,0.90,0.04,0.86,0.77,0.23,0.53,0.83,0.13,0.70,2.07,0.07,1.45,3.97,3.44,6.80,22.00,1.45,1.50,4.00
flail,0.78,0.17,0.61,0.77,0.10,0.67,0.77,0.13,0.64,1.86,0.18,0.02,3.00,5.41,2.70,19.00,1.85,1.70,5.00
flair,0.71,0.34,0.37,0.70,0.37,0.33,0.71,0.36,0.35,0.91,-0.09,0.23,3.06,5.34,2.60,10.00,1.80,1.25,5.00
flak,0.71,0.14,0.58,0.80,0.23,0.57,0.76,0.19,0.57,1.59,0.10,0.05,2.28,6.19,1.80,3.00,1.45,1.05,4.00
flake,0.76,0.25,0.51,0.83,0.43,0.40,0.80,0.34,0.45,1.24,-0.21,0.35,3.77,4.31,5.20,21.00,1.55,1.35,5.00
flame,0.59,0.29,0.30,0.83,0.07,0.77,0.71,0.18,0.53,1.48,0.19,1.44,4.13,3.75,6.20,12.00,1.50,1.35,5.00
flank,0.71,0.34,0.37,0.73,0.23,0.50,0.72,0.29,0.43,1.15,-0.02,0.61,2.53,5.75,3.00,23.00,1.55,1.50,5.00
flare,0.82,0.31,0.51,0.73,0.33,0.40,0.78,0.32,0.46,1.23,-0.15,0.68,3.37,4.94,4.50,20.00,1.60,1.25,5.00
flask,0.90,0.18,0.72,0.83,0.23,0.60,0.86,0.21,0.66,1.92,-0.14,0.75,3.52,5.84,5.00,6.00,1.85,1.90,5.00
flat,0.56,0.27,0.29,0.63,0.17,0.47,0.59,0.22,0.38,1.02,0.27,2.06,4.00,3.31,4.10,24.00,1.30,1.20,4.00
flaw,0.53,0.22,0.31,0.67,0.33,0.33,0.60,0.28,0.32,0.84,0.17,0.44,4.10,4.72,3.10,19.00,1.35,1.30,4.00
flax,0.72,0.18,0.55,0.80,0.20,0.60,0.76,0.19,0.57,1.59,0.08,0.80,1.93,6.35,2.00,7.00,1.50,1.40,4.00
flea,0.71,0.07,0.65,0.87,0.23,0.63,0.79,0.15,0.64,1.84,0.11,0.76,3.07,3.75,6.50,7.00,1.70,1.00,4.00
fleck,0.66,0.11,0.55,0.87,0.20,0.67,0.76,0.15,0.61,1.73,0.16,0.07,2.47,5.56,2.60,9.00,1.90,1.40,5.00
fled,0.75,0.31,0.44,0.73,0.33,0.40,0.74,0.32,0.42,1.11,-0.09,1.29,3.57,4.52,3.90,16.00,1.45,1.35,4.00
flee,0.71,0.38,0.33,0.73,0.30,0.43,0.72,0.34,0.38,1.01,-0.09,0.81,3.25,4.09,3.90,20.00,1.45,1.00,4.00
fleece,0.71,0.14,0.58,0.87,0.20,0.67,0.79,0.17,0.62,1.77,0.08,0.75,4.09,4.75,5.60,2.00,2.45,1.55,6.00
fleet,0.70,0.52,0.18,0.87,0.33,0.53,0.78,0.43,0.36,0.97,-0.30,1.27,3.00,5.03,4.50,12.00,1.75,1.15,5.00
flesh,0.82,0.24,0.58,0.67,0.27,0.40,0.74,0.25,0.49,1.32,0.00,1.32,3.63,4.34,5.70,4.00,1.80,1.55,5.00
flew,0.63,0.17,0.46,0.87,0.30,0.57,0.75,0.23,0.51,1.40,0.03,1.80,3.87,3.53,3.70,26.00,1.55,1.10,4.00
flex,0.71,0.34,0.37,0.93,0.20,0.73,0.82,0.27,0.55,1.54,-0.16,0.40,4.43,4.63,4.10,6.00,1.65,1.60,4.00
flick,0.79,0.29,0.51,0.70,0.27,0.43,0.75,0.28,0.47,1.26,-0.03,0.55,3.73,4.31,3.90,23.00,1.70,1.25,5.00
flight,0.68,0.28,0.40,0.73,0.20,0.53,0.71,0.24,0.47,1.25,0.09,1.71,4.37,4.13,5.00,18.00,1.55,1.25,6.00
fling,0.80,0.48,0.32,0.87,0.50,0.37,0.83,0.49,0.34,0.99,-0.47,0.50,3.93,4.84,3.60,20.00,1.70,1.20,5.00
flint,0.90,0.18,0.72,0.77,0.43,0.33,0.83,0.31,0.53,1.47,-0.23,1.00,2.60,5.66,4.40,15.00,1.60,1.60,5.00
flip,0.70,0.27,0.44,0.63,0.17,0.47,0.67,0.22,0.45,1.22,0.17,0.81,4.30,3.31,4.00,26.00,1.60,1.40,4.00
flirt,0.89,0.17,0.72,0.80,0.20,0.60,0.85,0.19,0.66,1.91,-0.06,0.21,4.97,4.84,4.90,7.00,1.90,1.95,5.00
float,0.75,0.41,0.34,0.83,0.37,0.47,0.79,0.39,0.40,1.09,-0.27,1.39,3.93,3.25,5.10,9.00,1.75,1.30,5.00
flock,0.59,0.30,0.29,0.83,0.30,0.53,0.71,0.30,0.41,1.09,-0.02,1.25,3.40,4.31,5.60,20.00,1.65,1.35,5.00
flog,0.67,0.11,0.56,0.77,0.13,0.63,0.72,0.12,0.59,1.74,0.30,0.07,2.10,6.03,3.50,11.00,1.60,1.65,4.00
flood,0.72,0.29,0.44,0.77,0.23,0.53,0.75,0.26,0.49,1.30,-0.01,1.37,3.60,3.66,6.40,2.00,1.75,1.65,5.00
flop,0.72,0.29,0.44,0.73,0.37,0.37,0.73,0.33,0.40,1.06,-0.08,0.49,3.07,4.03,3.80,22.00,1.50,1.45,4.00
flour,0.76,0.21,0.54,0.80,0.17,0.63,0.78,0.19,0.59,1.65,0.05,1.40,3.83,3.59,6.50,7.00,1.85,1.70,5.00
flow,0.46,0.24,0.22,0.80,0.30,0.50,0.63,0.27,0.36,0.95,0.14,1.96,5.00,3.81,3.80,17.00,1.40,1.00,4.00
flown,0.68,0.24,0.44,0.77,0.10,0.67,0.72,0.17,0.55,1.54,0.18,0.96,4.07,4.41,3.80,10.00,1.75,1.25,5.00
