intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,k,0,2.078400002,,,,,,A1_B1,agility,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,13,13,48,1,17,A2_B1,2.869565217,Noun,1,10.06,2.38,6.55,1.38,7,,,
,,,,,1,,,,,,,A2_B1,adulthood,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,14,14,214,1,66,A1_B1,5.714285714,Noun,1,9.95,2.5,5.05,1.58,9,,,
,,,,k,1,0.8855,,,,,,A2_B2,supervise,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,15,15,99,1,32,A2_B1,5.318181818,Verb,1,11,2.48,5.05,1.996,9,,,
,,,,,1,,,,,,,A1_B1,detail,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,16,16,168,1,53,A1_B1,2.826086957,Noun,0.96,9.79,2.5,5.67,2.996,6,,,
,,,,,1,,,,,,,A1_B1,onset,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,17,17,32,1,10,A2_B2,2.304347826,Noun,1,10.72,2.14,4.35,1.643,5,,,
,,,,k,1,0.796400002,,,,,,A2_B2,greet,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,18,18,47,1,16,A1_B2,6.045454545,Verb,1,6.47,2.96,6.25,2.43,5,,,
,,,,,1,,,,,,,A1_B1,medley,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,19,19,192,1,60,A2_B1,2.863636364,Noun,0.97,10,2.93,6.6,1.518,6,,,
,,,,k,0,1.223800001,,,,,,A2_B1,teamwork,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,20,20,210,1,65,A2_B1,6.72,Noun,1,7.8,2.37,6.26,2.013,8,,,
,,,,,1,,,,,,,A2_B1,warfare,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,21,21,150,1,46,A2_B2,5.571428571,Noun,1,8.95,3.03,3.14,2.179,7,,,
,,,,k,0,1.1305,,,,,,A2_B1,persuasion,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,22,22,166,1,52,A1_B1,5.083333333,Noun,1,10.9,1.9,5.67,2.004,10,,,
,,,,k,0,0.8465,,,,,,A2_B1,diversity,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,23,23,246,1,3,A2_B1,5.875,Noun,1,10.79,2.28,6.14,1.756,9,,,
,,,,,1,,,,,,,A1_B1,gravity,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,24,24,208,1,65,A2_B1,2.041666667,Noun,1,8.39,2.86,5.81,2.546,7,,,
,,,,k,1,1.1906,,,,,,A1_B2,reconstruct,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,25,25,65,1,21,A2_B1,2.681818182,Verb,1,10.63,3.2,5.7,1.771,11,,,
,,,,k,0,1.8636,,,,,,A1_B1,potency,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,26,26,16,1,6,A2_B2,2.565217391,Noun,1,12.89,2.32,5.84,1.398,7,,,
,,,,,1,,,,,,,A1_B1,vantage,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,27,27,260,1,7,A1_B1,2.65,Noun,1,12.1,1.93,5.95,1.602,7,,,
,,,,,0,,,,,,,A1_B2,suffice,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,28,28,261,1,7,A1_B1,2.375,Verb,1,12.26,1.72,5.52,1.929,7,,,
,,,,,0,,,,,,,A2_B2,terrorize,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,29,29,115,1,36,A1_B2,5.363636364,Verb,1,9.72,2.84,2.5,1.431,9,,,
,,,,,1,,,,,,,A2_B1,ancestry,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,30,30,102,1,33,A1_B1,5.142857143,Noun,1,10.11,2.83,6.29,1.398,8,,,
,,,,k,1,1.896300001,,,,,,A2_B2,attract,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,31,31,147,1,45,A2_B2,5.181818182,Verb,1,8.78,2.73,6.38,2.464,7,,,
,,,,k,1,1.630699999,,,,,,A1_B2,terminate,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,32,32,1,1,1,A2_B1,2.80952381,Verb,1,11.21,2.29,3.05,2.149,9,,,
,,,,k,0,2.270700001,,,,,,A2_B1,mutiny,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,33,33,234,1,71,A1_B1,5.526315789,Noun,1,10.59,2.24,4.2,2.104,6,,,
,,,,k,0,2.388799999,,,,,,A2_B1,behavior,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,34,34,86,1,27,A2_B2,5.5,Noun,1,7.05,2.19,5.28,3.058,8,,,
,,,,k,0,2.2356,,,,,,A1_B1,alignment,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,35,35,64,1,21,A2_B1,2.826086957,Noun,1,11.76,3.26,6,1.833,9,,,
,,,,k,1,1.4319,,,,,,A1_B2,cleanse,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,36,36,253,1,5,A2_B1,2.75,Verb,1,8.11,3.31,6.65,1.875,7,,,
,,,,,1,,,,,,,A2_B1,corruption,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,37,37,2,1,1,A2_B1,5.5,Noun,1,11.17,2.39,3,2.34,10,,,
,,,,,0,,,,,,,A2_B2,befriend,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,38,38,127,1,40,A1_B2,6.608695652,Verb,1,8.5,2.36,7.14,1.362,8,,,
,,,,,1,,,,,,,A1_B1,chapter,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,39,39,92,1,30,A2_B2,1.833333333,Noun,1,6.42,3.43,5.7,2.782,7,,,
,,,,,1,,,,,,,A1_B1,summary,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,40,40,224,1,69,A1_B2,2.523809524,Noun,1,8,3.03,5.05,1.935,7,,,
,,,,,1,,,,,,,A2_B1,excursion,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,41,41,6,1,2,A2_B1,5.260869565,Noun,1,10.11,2.93,5.83,1.544,9,,,
,,,,k,0,1.037200001,,,,,,A1_B1,finale,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,42,42,248,1,4,A1_B1,2.875,Noun,1,7.74,2.76,5.26,2.1,6,,,
,,,,,1,,,,,,,A2_B1,guidance,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,43,43,218,1,67,A2_B1,5.136363636,Noun,1,8.95,2.46,5.95,2.576,8,,,
,,,,k,1,1.532299999,,,,,,A2_B2,seduce,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,44,44,179,1,55,A2_B1,5.727272727,Verb,0.97,11.95,2.18,6.74,2.248,6,,,
,,,,,1,,,,,,,A2_B1,savior,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,45,45,46,1,16,A1_B2,5.565217391,Noun,0.88,6.68,3.04,6.59,2.24,6,,,
,,,,,0,,,,,,,A2_B2,communicate,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,46,46,39,1,12,A1_B2,6.476190476,Verb,1,7.63,3.43,6.28,2.639,11,,,
