intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,,1,,,,,,A2_B1,royalty,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,13,13,250,1,4,A1_B1,5.136363636,Noun,1,8,3.11,5.52,2.303,7,,,
,,,,,1,,,,,,A2_B1,ancestry,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,14,14,102,1,33,A1_B1,5.142857143,Noun,1,10.11,2.83,6.29,1.398,8,,,
,,,,k,1,,,,,,A1_B2,activate,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.1839,,,,0,15,15,153,1,47,A2_B1,2.7,Verb,1,11.11,2.97,5.7,2.378,8,,,
,,,,,1,,,,,,A2_B1,persuasion,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,16,16,166,1,52,A1_B1,5.083333333,Noun,1,10.9,1.9,5.67,2.004,10,,,
,,,,k,1,,,,,,A1_B2,decompose,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.5009,,,,0,17,17,113,1,36,A1_B2,1.826086957,Verb,1,10.48,3,2.42,1.398,9,,,
,,,,,1,,,,,,A2_B1,dialect,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,18,18,154,1,47,A2_B1,5.523809524,Noun,1,11.5,2.67,6,1.839,7,,,
,,,,k,1,,,,,,A1_B2,minimize,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,0.7996,,,,0,19,19,53,1,18,A2_B2,2.625,Verb,1,10.89,2.37,5.16,1.74,8,,,
,,,,,1,,,,,,A2_B1,history,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,20,20,94,1,30,A2_B2,5.416666667,Noun,1,6.42,2.96,6,3.631,7,,,
,,,,k,0,,,,,,A1_B1,fluke,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.5858,,,,0,21,21,232,1,71,A1_B1,2.526315789,Noun,1,10.1,2.34,4.3,1.954,5,,,
,,,,k,1,,,,,,A1_B2,reinforce,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.3758,,,,0,22,22,21,1,7,A2_B1,2.904761905,Verb,1,10.2,2.32,5.53,1.69,9,,,
,,,,k,0,,,,,,A1_B1,reference,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.6373,,,,0,23,23,180,1,57,A2_B1,2.761904762,Noun,0.95,8.67,2.38,5.63,2.636,9,,,
,,,,k,1,,,,,,A1_B2,replicate,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.3351,,,,0,24,24,77,1,24,A1_B1,2.739130435,Verb,1,11.26,3.33,4.95,1.58,9,,,
,,,,,1,,,,,,A2_B1,adulthood,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,25,25,214,1,66,A1_B1,5.714285714,Noun,1,9.95,2.5,5.05,1.58,9,,,
,,,,,0,,,,,,A1_B2,decipher,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,26,26,109,1,35,A1_B2,2.947368421,Verb,1,10.84,2.83,5.09,1.944,8,,,
