intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,k,1,,,,,,A2_B2,manipulate,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.6905,,,,0,13,13,3,1,1,A2_B1,5.47826087,Verb,1,11.1,2.55,3.21,2.25,10,,,
,,,,k,1,,,,,,A1_B2,decipher,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.6672,,,,0,14,14,109,1,35,A1_B2,2.947368421,Verb,1,10.84,2.83,5.09,1.944,8,,,
,,,,,1,,,,,,A2_B1,immigration,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,0,15,15,174,1,54,A2_B1,6.090909091,Noun,0.98,12.63,3.03,4,2.111,11,,,
,,,,,1,,,,,,A2_B1,corruption,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,0,16,16,2,1,1,A2_B1,5.5,Noun,1,11.17,2.39,3,2.34,10,,,
,,,,,1,,,,,,A2_B1,environment,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,0,17,17,190,1,59,A1_B1,5.347826087,Noun,1,9.85,3.74,6.7,2.815,11,,,
,,,,,1,,,,,,A1_B1,standstill,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,0,18,18,212,1,66,A1_B1,2.863636364,Noun,1,10,2.39,4.74,1.431,10,,,
,,,,,1,,,,,,A1_B1,medley,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,0,19,19,192,1,60,A2_B1,2.863636364,Noun,0.97,10,2.93,6.6,1.518,6,,,
,,,,k,1,,,,,,A2_B2,supervise,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.7826,,,,0,20,20,99,1,32,A2_B1,5.318181818,Verb,1,11,2.48,5.05,1.996,9,,,
,,,,k,1,,,,,,A1_B2,rearrange,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.6659,,,,0,21,21,237,1,1,A2_B1,2.727272727,Verb,1,8.11,3.26,5.52,1.949,9,,,
,,,,,1,,,,,,A1_B1,gravity,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,0,22,22,208,1,65,A2_B1,2.041666667,Noun,1,8.39,2.86,5.81,2.546,7,,,
,,,,,1,,,,,,A2_B1,royalty,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,0,23,23,250,1,4,A1_B1,5.136363636,Noun,1,8,3.11,5.52,2.303,7,,,
,,,,k,1,,,,,,A2_B2,persuade,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.8372,,,,0,24,24,167,1,52,A1_B1,5.173913043,Verb,1,10.79,2.07,5.67,2.514,8,,,
,,,,k,1,,,,,,A2_B2,confide,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,1.8533,,,,0,25,25,263,1,7,A1_B1,5.2,Verb,1,11.22,1.81,6.21,1.991,7,,,
,,,,k,1,,,,,,A2_B2,entrust,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.8508,,,,0,26,26,19,1,6,A2_B2,5.782608696,Verb,1,11.89,2.16,6.32,1.58,7,,,
