intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,k,1,1.068,,,,,,A1_B2,enter,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,13,13,265,1,8,A1_B2,2.739130435,Verb,1,5.67,3.12,6.09,3.181,5,,,
,,,,,1,,,,,,,A2_B1,labor,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,14,14,26,1,8,A2_B1,5.523809524,Noun,0.97,8.28,3.08,4.74,2.794,5,,,
,,,,,1,,,,,,,A1_B1,countdown,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,15,15,236,1,1,A2_B1,2.956521739,Noun,0.99,6.26,3.3,5.64,2.258,9,,,
,,,,,1,,,,,,,A2_B1,speech,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,16,16,266,1,8,A1_B2,6.08,Noun,1,6.22,3.37,5.62,3.288,6,,,
,,,,k,1,1.5348,,,,,,A2_B2,tolerate,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,17,17,247,1,3,A2_B1,5.761904762,Verb,1,10.45,1.78,6.19,2.55,8,,,
,,,,k,1,0.97,,,,,,A2_B2,consult,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,18,18,91,1,28,A2_B2,6.318181818,Verb,1,10.95,3.04,5.41,2.456,7,,,
,,,,k,1,1.0416,,,,,,A1_B2,accelerate,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,19,19,189,1,59,A1_B1,2.25,Verb,1,10.74,3.48,6.1,1.819,10,,,
,,,,,1,,,,,,,A2_B1,openness,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,20,20,126,1,40,A1_B2,5.090909091,Noun,1,8.68,1.9,6.52,1.322,8,,,
,,,,k,1,1.6923,,,,,,A2_B2,authorize,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,21,21,23,1,7,A2_B1,5.086956522,Verb,1,9.84,2.22,5.37,2.025,9,,,
,,,,,0,,,,,,,A2_B2,mingle,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,22,22,83,1,26,A1_B2,5.391304348,Verb,1,10.29,3.17,5.21,2.14,6,,,
