intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,embResp.rt,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,,0,,,,,,A2_B2,lend,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,13,13,27,1,8,A2_B1,5,Verb,1,8.45,3.07,4.95,2.775,4,,,
,,,,,1,,,,,,A1_B1,fluke,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,14,14,232,1,71,A1_B1,2.526315789,Noun,1,10.1,2.34,4.3,1.954,5,,,
,,,,,0,,,,,,A1_B2,confine,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,15,15,149,1,46,A2_B2,2.826086957,Verb,1,9.71,3.07,3,1.708,7,,,
,,,,,1,,,,,,A2_B1,openness,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,16,16,126,1,40,A1_B2,5.090909091,Noun,1,8.68,1.9,6.52,1.322,8,,,
,,,,k,0,,,,,,A2_B1,attendance,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.0797,0,17,17,238,1,1,A2_B1,5.090909091,Noun,1,7.11,3.07,5.95,2.134,10,,,
,,,,,0,,,,,,A1_B2,expire,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,18,18,205,1,63,A2_B2,2,Verb,1,7.68,2.73,3.16,1.672,6,,,
,,,,k,1,,,,,,A1_B2,sterilize,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.0279,0,19,19,141,1,44,A2_B1,2.954545455,Verb,1,11.68,2.97,5.59,1.398,9,,,
,,,,k,0,,,,,,A2_B1,humanity,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.1932,0,20,20,146,1,45,A2_B2,6.19047619,Noun,1,9.28,2.36,6.78,2.696,8,,,
,,,,,0,,,,,,A2_B2,govern,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,21,21,259,1,6,A1_B1,6.260869565,Verb,1,9.53,2.21,4.52,1.799,6,,,
,,,,,1,,,,,,A1_B1,anomaly,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,22,22,156,1,49,A2_B2,2.111111111,Noun,1,12.44,1.79,4.84,1.806,7,,,
,,,,,0,,,,,,A1_B2,deduct,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,23,23,33,1,10,A2_B2,2.304347826,Verb,1,10.84,2.31,4.24,1.748,6,,,
,,,,,1,,,,,,A2_B1,history,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,24,24,94,1,30,A2_B2,5.416666667,Noun,1,6.42,2.96,6,3.631,7,,,
,,,,k,0,,,,,,A2_B1,adulthood,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.0742,0,25,25,214,1,66,A1_B1,5.714285714,Noun,1,9.95,2.5,5.05,1.58,9,,,
,,,,,0,,,,,,A2_B2,cherish,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,26,26,59,1,19,A1_B2,5.473684211,Verb,1,8.9,1.73,6.75,2.358,7,,,
,,,,,0,,,,,,A1_B2,deteriorate,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,27,27,173,1,54,A2_B1,2.428571429,Verb,1,11.78,3,3.64,1.447,11,,,
,,,,,0,,,,,,A1_B2,contain,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,28,28,85,1,27,A2_B2,2.52,Verb,1,7.88,2.74,5,2.493,7,,,
,,,,k,0,,,,,,A1_B1,geology,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.3446,0,29,29,100,1,33,A1_B1,2.708333333,Noun,1,10,2.9,5.89,1.681,7,,,
,,,,,0,,,,,,A1_B2,discontinue,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,30,30,121,1,39,A2_B2,2.227272727,Verb,1,11.63,2.5,3.94,1.544,11,,,
,,,,,1,,,,,,A1_B1,option,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,31,31,220,1,68,A2_B2,2.791666667,Noun,1,8.79,2.39,6.37,2.868,6,,,
,,,,,0,,,,,,A2_B2,participate,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,32,32,239,1,1,A2_B1,5.869565217,Verb,1,7.05,2.59,5.5,2.352,11,,,
,,,,,0,,,,,,A1_B2,hover,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,33,33,249,1,4,A1_B1,2.75,Verb,1,8.58,3.17,5.5,1.778,5,,,
,,,,k,0,,,,,,A1_B1,medley,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.9351,0,34,34,192,1,60,A2_B1,2.863636364,Noun,0.97,10,2.93,6.6,1.518,6,,,
,,,,,0,,,,,,A2_B2,consult,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,35,35,91,1,28,A2_B2,6.318181818,Verb,1,10.95,3.04,5.41,2.456,7,,,
,,,,k,0,,,,,,A1_B1,magnetism,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.5369,0,36,36,196,1,61,A1_B2,2.45,Noun,1,10.94,2.54,6,1.699,9,,,
,,,,,1,,,,,,A1_B1,carpentry,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,37,37,8,1,4,A1_B2,2.857142857,Noun,1,9.83,3.48,4.87,1.38,9,,,
,,,,,1,,,,,,A1_B1,precedent,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,38,38,164,1,52,A1_B1,2.590909091,Noun,1,10.53,1.63,5.25,2.107,9,,,
,,,,,1,,,,,,A1_B1,compound,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,39,39,152,1,47,A2_B1,2.65,Noun,0.91,11.26,3.03,5.62,2.559,8,,,
,,,,,1,,,,,,A1_B1,onset,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,40,40,32,1,10,A2_B2,2.304347826,Noun,1,10.72,2.14,4.35,1.643,5,,,
,,,,,1,,,,,,A2_B1,dynasty,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,41,41,258,1,6,A1_B1,5.571428571,Noun,1,10.5,2.46,5.16,2.117,7,,,
,,,,,0,,,,,,A1_B2,summarize,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,42,42,213,1,66,A1_B1,2.75,Verb,1,10.74,2.32,4.89,1.322,9,,,
,,,,k,0,,,,,,A2_B1,goodwill,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,0.848,0,43,43,58,1,19,A1_B2,5.826086957,Noun,1,8.79,2.54,6.47,2.225,8,,,
,,,,,1,,,,,,A2_B1,stardom,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,44,44,118,1,37,A2_B1,5.238095238,Noun,1,10.06,2.26,5.85,1.505,7,,,
,,,,,1,,,,,,A1_B1,countdown,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,45,45,236,1,1,A2_B1,2.956521739,Noun,0.99,6.26,3.3,5.64,2.258,9,,,
,,,,,0,,,,,,A2_B2,befriend,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,46,46,127,1,40,A1_B2,6.608695652,Verb,1,8.5,2.36,7.14,1.362,8,,,
,,,,,1,,,,,,A1_B1,migraine,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,47,47,112,1,36,A1_B2,2.956521739,Noun,0.93,10,3.2,2.68,1.982,8,,,
,,,,,0,,,,,,A2_B2,confront,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,48,48,111,1,35,A1_B2,5.086956522,Verb,1,9.89,2.43,4.59,2.34,8,,,
,,,,,0,,,,,,A1_B2,reinforce,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,49,49,21,1,7,A2_B1,2.904761905,Verb,1,10.2,2.32,5.53,1.69,9,,,
,,,,,1,,,,,,A2_B1,diversity,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,50,50,246,1,3,A2_B1,5.875,Noun,1,10.79,2.28,6.14,1.756,9,,,
,,,,k,1,,,,,,A2_B2,impregnate,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.4994,0,51,51,175,1,54,A2_B1,5.44,Verb,1,12.95,3.29,4.5,1.362,10,,,
,,,,k,0,,,,,,A2_B1,event,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,2.863,0,52,52,138,1,43,A1_B2,5.130434783,Noun,1,7.81,2.69,6.21,3.129,5,,,
,,,,,0,,,,,,A2_B2,pray,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,53,53,267,1,8,A1_B2,5.045454545,Verb,0.96,5.79,3.21,6.57,3.267,4,,,
,,,,,0,,,,,,A1_B2,bode,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,54,54,233,1,71,A1_B1,2.238095238,Verb,0.88,10.93,1.88,4.71,1.398,4,,,
,,,,,0,,,,,,A1_B2,generate,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,55,55,73,1,23,A1_B1,2.636363636,Verb,1,10.78,2.23,6.14,2.097,8,,,
,,,,,1,,,,,,A1_B1,jiffy,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,56,56,160,1,50,A1_B2,2.722222222,Noun,1,9.33,2.33,6.09,1.909,5,,,
,,,,k,1,,,,,,A1_B2,visualize,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.4496,0,57,57,49,1,17,A2_B1,2.458333333,Verb,1,9.88,2.45,6.58,1.949,9,,,
,,,,,1,,,,,,A1_B1,distortion,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,58,58,0,1,1,A2_B1,2.863636364,Noun,1,11.47,2.3,3.5,1.785,10,,,
,,,,k,1,,,,,,A1_B2,replicate,k,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,1.3549,0,59,59,77,1,24,A1_B1,2.739130435,Verb,1,11.26,3.33,4.95,1.58,9,,,
,,,,,1,,,,,,A1_B1,trajectory,,R_1rNfVOoIBwR0Cv1,MainVerb,2022-06-13_22h18.13.120,SCT_verb,2021.2.3,Win32,60.0024001,,,,,0,60,60,120,1,39,A2_B2,2,Noun,1,11.94,3.1,4.89,1.978,10,,,
