intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,k,1,,,,,,A1_B2,expire,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,1.074,,,,0,13,13,205,1,63,A2_B2,2,Verb,1,7.68,2.73,3.16,1.672,6,,,
,,,,,1,,,,,,A1_B1,delusion,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,0,14,14,184,1,58,A1_B2,2.695652174,Noun,1,9.95,2.3,3.3,2.143,8,,,
,,,,k,1,,,,,,A2_B2,brainwash,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,1.148,,,,0,15,15,187,1,58,A1_B2,5.083333333,Verb,0.91,11.53,2.21,3.11,1.362,9,,,
,,,,,1,,,,,,A2_B1,feedback,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,0,16,16,62,1,20,A2_B1,5.545454545,Noun,1,10.7,2.48,5.91,2.149,8,,,
,,,,k,1,,,,,,A1_B2,postpone,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,0.943,,,,0,17,17,13,1,5,A2_B1,2.916666667,Verb,1,10.42,2.29,4.32,2.301,8,,,
,,,,k,1,,,,,,A2_B2,lend,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,0.877,,,,0,18,18,27,1,8,A2_B1,5,Verb,1,8.45,3.07,4.95,2.775,4,,,
,,,,,1,,,,,,A1_B1,catalyst,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,0,19,19,240,1,2,A2_B2,2.238095238,Noun,1,12.56,2.85,5.3,1.613,8,,,
,,,,,1,,,,,,A2_B1,ancestry,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,0,20,20,102,1,33,A1_B1,5.142857143,Noun,1,10.11,2.83,6.29,1.398,8,,,
,,,,k,1,,,,,,A1_B2,dissolve,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,0.863,,,,0,21,21,5,1,2,A2_B1,2.208333333,Verb,1,9.2,3.15,5.43,1.982,8,,,
,,,,,1,,,,,,A2_B1,event,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,0,22,22,138,1,43,A1_B2,5.130434783,Noun,1,7.81,2.69,6.21,3.129,5,,,
